country,orphanhood_ratio,primary_ratio,primary_secondary_ratio
Lesotho,1.2707031205996808,1.348226305584832,1.4938424274232067
Liberia,1.9068765152024698,1.984561697799517,2.1683418489286694
Libya,0.27232665341397705,0.3004531761450656,0.43529258730223624
Liechtenstein,0.06450675707111472,0.0721539570894549,0.1320941267868998
Lithuania,0.09227310624643946,0.10294775879138172,0.17839738349338735
Luxembourg,0.041649026092907236,0.04671317071670564,0.09124903602219099
Madagascar,1.8754392388380146,1.9534475244079401,2.1268683479917723
Malawi,1.9468177855274629,2.063644289450741,2.2074978204010463
Malaysia,0.16756918747477015,0.1859613517256333,0.29272792903744516
Maldives,0.11248831455201058,0.12530133623986597,0.21045787501941385
Mali,1.9543073776648796,2.0316470901123602,2.243373628830308
Malta,0.05389948990488249,0.06035929700855383,0.11351479263413426
Marshall Islands,1.1472709489240729,1.2223439854386253,1.3737714925140652
Mauritania,1.9335856485297775,2.0110259036591702,2.20698314244265
Mauritius,0.03434281378169767,0.03856063100862707,0.0774573576657203
Mexico,0.281997874145095,0.30305672167405706,0.4370865051160094
Micronesia (Federated States of),1.1472709489240729,1.2223439854386253,1.3737714925140652
Monaco,0.13731791250017297,0.15268877154921293,0.24835534286769487
Mongolia,0.9501525474186286,1.019358463266977,1.1803272982715778
Montenegro,0.10307591095350967,0.11489977964387513,0.1956794155481416
Morocco,0.4184905987558205,0.4585114562206655,0.6151669826886379
Mozambique,1.9436390931203238,2.021008766988272,2.223160471264095
Myanmar,0.24558919964223905,0.27133291602114834,0.4002536144008739
Namibia,1.5037474359468546,1.5835223691851994,1.7229115789581892
Nepal,0.12022453261990443,0.13384237185918274,0.222426502571877
Netherlands,0.08700949526237706,0.09711860396809716,0.1698412999770624
New Zealand,0.13695281777250484,0.15228658916116594,0.24780848326242935
Nicaragua,0.40252112112289173,0.4413317487601139,0.5963135685727448
Niger,1.955098774778084,2.0324447692554672,2.2455334970677705
Nigeria,1.865859564164649,1.9113801452784505,2.1728813559322036
North Macedonia,0.048049548930660324,0.05384633001486068,0.10300250656692428
Norway,0.09199660840810982,0.10264164562730106,0.17795023092131795
Occupied Palestinian Territory,1.2244371130077687,1.3011483744473733,1.4488418740038582
Oman,0.7636179367444651,0.8249132635554618,0.992038993140161
Pakistan,1.566981760298867,1.646871553978111,1.7866276094085072
Panama,0.4883811220987785,0.5334526444344343,0.6958375886084733
Papua New Guinea,1.6759004129178754,1.7555414542095644,1.8994330521123208
Paraguay,0.4501082263932594,0.49246308109843445,0.6520160916124699
Peru,0.4093399921401352,0.43703939205270526,0.6030547496986316
Philippines,0.36196626398708454,0.40232700551132883,0.5790792183933642
Poland,0.046798613374418534,0.060694497940801756,0.12765547687475925
Portugal,0.034780228170770894,0.03904903529020102,0.07829567257477532
Qatar,0.11367797517271923,0.1266152347911252,0.21230850473823348
Republic of Korea,0.016004230676118253,0.0180400085373452,0.04035065601503612
Republic of Moldova,0.031216886717180026,0.0350690456421368,0.07141463243413419
Romania,0.07965875531389936,0.08897170711501322,0.15773030929015694
Russian Federation,0.05519749824822904,0.07359666433097205,0.1399287406809499
Rwanda,1.8438319193040396,1.922166731572478,2.087647414317054
Saint Kitts and Nevis,0.17947137986861983,0.19902508228936966,0.3097228011384239
Saint Lucia,0.0381058242060229,0.042760935931263275,0.08461494907187286
Saint Vincent and the Grenadines,0.12449337107435886,0.1385522205676647,0.22896625238334486
Samoa,1.8265493175732548,1.905056998571475,2.0669407543461085
San Marino,0.029890960718580297,0.033587325785799066,0.0688225452903091
Sao Tome and Principe,1.9125600864841479,1.990189342824585,2.1762198251475273
Saudi Arabia,0.31521611484004336,0.34702724320723266,0.48994755840022497
Scotland & Northern Ireland,0.10662687056943089,0.11882521554614256,0.20128391241475269
Senegal,1.934818867793702,2.0122494433011333,2.2088967461455313
Serbia,0.04247385277045413,0.047632853894674754,0.09277975272281067
Seychelles,0.46040730822925274,0.5035048150119666,0.6638894417347304
Sierra Leone,1.8759846723411129,1.9539872723656437,2.127563702867485
Singapore,0.02584723719904632,0.029065764458730683,0.06079986181038602
Slovakia,0.061266213313095515,0.06855260851403462,0.12647885747143936
Slovenia,0.07764879922340852,0.08674272868491224,0.15438380556141845
Solomon Islands,1.9197392064811025,1.9973000726806125,2.186398864498312
Somalia,1.9546697773633281,2.032011495694683,2.2442836287304493
South Africa,0.5516165949444181,0.6332862621219524,0.7980377328184501
South Sudan,1.9359604914992667,2.0133823158590847,2.210683127542755
Spain,0.023740001233780922,0.027441343998683965,0.06147313442043141
Sri Lanka,0.2812375807000252,0.31014342993514277,0.4467978648736616
Sudan,1.9205558529960327,1.9981091381968326,2.1875750384858814
Suriname,0.4374387449310089,0.47886818668916437,0.6373240796361528
Sweden,0.1355375096342178,0.15072736446583238,0.2456857993088164
Switzerland,0.06208708265867789,0.06946503238155441,0.12790609648868917
Syrian Arab Republic,0.8300875197162727,0.8944750218312788,1.0599589673645804
Tajikistan,1.6940922350050205,1.7736406821334592,1.9187870025618452
Thailand,0.04750242736821877,0.053236883874051004,0.10200857189824478
Timor-Leste,1.7962666587767675,1.8750612642220992,2.0316264666203505
Togo,1.9101462472813808,1.9877990926182627,2.172856107396455
Trinidad and Tobago,0.0853116678341283,0.09523755164928037,0.16706123765412292
Tunisia,0.2602760255484719,0.287336920065635,0.41959924569458656
Turkey,0.20083021133999032,0.22243135575911827,0.33964439607863356
Uganda,1.9395358925812691,2.016931803529845,2.2163820158434726
Ukraine,0.04423354424258148,0.04959446797659661,0.0960290356817452
United Arab Emirates,0.035233016089662055,0.03955456054873521,0.07916165274375958
United Republic of Tanzania,1.9461480215427862,2.0235041361826416,2.2274709954476375
Uruguay,0.1674376391025699,0.1858168814955805,0.29253872492422406
USA,0.12958544863296767,0.14048760719611653,0.16888461676268654
Uzbekistan,0.43086321839372255,0.4718071905755716,0.6296604227804559
Vanuatu,1.8051422713216745,1.8838551975112925,2.041862958536086
Venezuela (Bolivarian Republic of),0.322165724679989,0.35455830087521095,0.49864063254731567
Viet Nam,0.21426414295446836,0.2371293348208179,0.3581160255745906
Yemen,1.7086313188705318,1.7880960351788922,1.934388393964413
Zambia,1.9369355963738921,2.0143501177708707,2.2122210254175503
Zimbabwe,1.7008928571428572,1.784438775510204,1.9049744897959184
