"age","gender","nb_covid19","nb_excess","deaths","child_age","nb_c","orphans"
"10-14","Male",6,-30,6,14,0,0
"10-14","Male",6,-30,6,15,0,0
"10-14","Male",6,-30,6,16,0,0
"10-14","Male",6,-30,6,17,0,0
"15-19","Female",16,-29,16,0,0.0118847250478435,0
"15-19","Female",16,-29,16,1,0.00954280669230056,0
"15-19","Female",16,-29,16,2,0.00715710501922542,0
"15-19","Female",16,-29,16,3,0.00507328873502716,0
"15-19","Female",16,-29,16,4,0.00274609513685466,0
"15-19","Female",16,-29,16,5,0,0
"15-19","Female",16,-29,16,6,0,0
"15-19","Female",16,-29,16,7,0,0
"15-19","Female",16,-29,16,8,0,0
"15-19","Female",16,-29,16,9,0,0
"15-19","Female",16,-29,16,10,0,0
"15-19","Female",16,-29,16,11,0,0
"15-19","Female",16,-29,16,12,0,0
"15-19","Female",16,-29,16,13,0,0
"15-19","Female",16,-29,16,14,0,0
"15-19","Female",16,-29,16,15,0,0
"15-19","Female",16,-29,16,16,0,0
"15-19","Female",16,-29,16,17,0,0
"15-19","Male",19,25,25,0,0.0186512041398151,0
"15-19","Male",19,25,25,1,0.0149759321287106,0
"15-19","Male",19,25,25,2,0.011231949096533,0
"15-19","Male",19,25,25,3,0.00906862530915708,0
"15-19","Male",19,25,25,4,0.00467538916125802,0
"15-19","Male",19,25,25,5,0,0
"15-19","Male",19,25,25,6,0,0
"15-19","Male",19,25,25,7,0,0
"15-19","Male",19,25,25,8,0,0
"15-19","Male",19,25,25,9,0,0
"15-19","Male",19,25,25,10,0,0
"15-19","Male",19,25,25,11,0,0
"15-19","Male",19,25,25,12,0,0
"15-19","Male",19,25,25,13,0,0
"15-19","Male",19,25,25,14,0,0
"15-19","Male",19,25,25,15,0,0
"15-19","Male",19,25,25,16,0,0
"15-19","Male",19,25,25,17,0,0
"20-24","Female",31,8,31,0,0.0502952292909861,2
"20-24","Female",31,8,31,1,0.0427701151733187,1
"20-24","Female",31,8,31,2,0.035059713471333,1
"20-24","Female",31,8,31,3,0.0290986343345889,1
"20-24","Female",31,8,31,4,0.0221522242098566,1
"20-24","Female",31,8,31,5,0.0144872940779312,0
"20-24","Female",31,8,31,6,0.012491388833819,0
"20-24","Female",31,8,31,7,0.0104222756966468,0
"20-24","Female",31,8,31,8,0.00797367164309332,0
"20-24","Female",31,8,31,9,0.00423683631479334,0
"20-24","Female",31,8,31,10,0,0
"20-24","Female",31,8,31,11,0,0
"20-24","Female",31,8,31,12,0,0
"20-24","Female",31,8,31,13,0,0
"20-24","Female",31,8,31,14,0,0
"20-24","Female",31,8,31,15,0,0
"20-24","Female",31,8,31,16,0,0
"20-24","Female",31,8,31,17,0,0
"20-24","Male",49,-2,49,0,0.02869056,1
"20-24","Male",49,-2,49,1,0.0267809878321777,1
"20-24","Male",49,-2,49,2,0.0247657196643553,1
"20-24","Male",49,-2,49,3,0.0262412947637356,1
"20-24","Male",49,-2,49,4,0.0254205486450321,1
"20-24","Male",49,-2,49,5,0.0237417060307462,1
"20-24","Male",49,-2,49,6,0.02002381694066,1
"20-24","Male",49,-2,49,7,0.0169423823657906,1
"20-24","Male",49,-2,49,8,0.012836531075722,1
"20-24","Male",49,-2,49,9,0.00663766470992902,0
"20-24","Male",49,-2,49,10,0,0
"20-24","Male",49,-2,49,11,0,0
"20-24","Male",49,-2,49,12,0,0
"20-24","Male",49,-2,49,13,0,0
"20-24","Male",49,-2,49,14,0,0
"20-24","Male",49,-2,49,15,0,0
"20-24","Male",49,-2,49,16,0,0
"20-24","Male",49,-2,49,17,0,0
"25-29","Female",63,70,70,0,0.0909328181992076,6
"25-29","Female",63,70,70,1,0.0831103550778047,6
"25-29","Female",63,70,70,2,0.0749528955271796,5
"25-29","Female",63,70,70,3,0.070354154744674,5
"25-29","Female",63,70,70,4,0.0644240096629266,5
"25-29","Female",63,70,70,5,0.0580142644175091,4
"25-29","Female",63,70,70,6,0.0511781167047975,4
"25-29","Female",63,70,70,7,0.0451387901259321,3
"25-29","Female",63,70,70,8,0.0399375617915435,3
"25-29","Female",63,70,70,9,0.0312700792559434,2
"25-29","Female",63,70,70,10,0.023429924955435,2
"25-29","Female",63,70,70,11,0.019839146440923,1
"25-29","Female",63,70,70,12,0.0154468545291139,1
"25-29","Female",63,70,70,13,0.0103451466676211,1
"25-29","Female",63,70,70,14,0.00531382888466152,0
"25-29","Female",63,70,70,15,0,0
"25-29","Female",63,70,70,16,0,0
"25-29","Female",63,70,70,17,0,0
"25-29","Male",94,76,94,0,0.06913628,6
"25-29","Male",94,76,94,1,0.0612720336,6
"25-29","Male",94,76,94,2,0.0531530892,5
"25-29","Male",94,76,94,3,0.0482337288,5
"25-29","Male",94,76,94,4,0.042053691,4
"25-29","Male",94,76,94,5,0.035697501,3
"25-29","Male",94,76,94,6,0.035163541435165,3
"25-29","Male",94,76,94,7,0.0355332247771938,3
"25-29","Male",94,76,94,8,0.0372133598135831,3
"25-29","Male",94,76,94,9,0.0357900120397161,3
"25-29","Male",94,76,94,10,0.0355434568983668,3
"25-29","Male",94,76,94,11,0.0300627760028674,3
"25-29","Male",94,76,94,12,0.0227890430875232,2
"25-29","Male",94,76,94,13,0.014693851179788,1
"25-29","Male",94,76,94,14,0.0075601542272328,1
"25-29","Male",94,76,94,15,0,0
"25-29","Male",94,76,94,16,0,0
"25-29","Male",94,76,94,17,0,0
"30-34","Female",122,232,232,0,0.106366366038052,25
"30-34","Female",122,232,232,1,0.103660138641781,24
"30-34","Female",122,232,232,2,0.100562057638443,23
"30-34","Female",122,232,232,3,0.101079862781522,23
"30-34","Female",122,232,232,4,0.101398608413336,24
"30-34","Female",122,232,232,5,0.10078147162346,23
"30-34","Female",122,232,232,6,0.0926812237130449,22
"30-34","Female",122,232,232,7,0.0863578403393846,20
"30-34","Female",122,232,232,8,0.0839914695314273,19
"30-34","Female",122,232,232,9,0.0781493080877942,18
"30-34","Female",122,232,232,10,0.0740815760212715,17
"30-34","Female",122,232,232,11,0.0640729799501383,15
"30-34","Female",122,232,232,12,0.0547739528531459,13
"30-34","Female",122,232,232,13,0.0445580964503874,10
"30-34","Female",122,232,232,14,0.0356756225366536,8
"30-34","Female",122,232,232,15,0.0263862489517182,6
"30-34","Female",122,232,232,16,0.021525003543126,5
"30-34","Female",122,232,232,17,0.0161276249617818,4
"30-34","Male",181,310,310,0,0.10131354,31
"30-34","Male",181,310,310,1,0.0952276188,30
"30-34","Male",181,310,310,2,0.0887684586,28
"30-34","Male",181,310,310,3,0.0856288668,27
"30-34","Male",181,310,310,4,0.081947706,25
"30-34","Male",181,310,310,5,0.077894547,24
"30-34","Male",181,310,310,6,0.070894328,22
"30-34","Male",181,310,310,7,0.0643354962,20
"30-34","Male",181,310,310,8,0.0605751536,19
"30-34","Male",181,310,310,9,0.0537162396,17
"30-34","Male",181,310,310,10,0.048596112,15
"30-34","Male",181,310,310,11,0.0467917660007168,15
"30-34","Male",181,310,310,12,0.0442900763916822,14
"30-34","Male",181,310,310,13,0.040798713169682,13
"30-34","Male",181,310,310,14,0.0395195033089312,12
"30-34","Male",181,310,310,15,0.0380317219124996,12
"30-34","Male",181,310,310,16,0.0302767537080545,9
"30-34","Male",181,310,310,17,0.0221874235742641,7
"35-39","Female",215,428,428,0,0.0631787650439092,27
"35-39","Female",215,428,428,1,0.0720808563799,31
"35-39","Female",215,428,428,2,0.0807501971962047,35
"35-39","Female",215,428,428,3,0.0919009276709132,39
"35-39","Female",215,428,428,4,0.102932008420885,44
"35-39","Female",215,428,428,5,0.111012531444408,48
"35-39","Female",215,428,428,6,0.108442681333473,46
"35-39","Female",215,428,428,7,0.106214688807654,45
"35-39","Female",215,428,428,8,0.108598595426535,46
"35-39","Female",215,428,428,9,0.105809943945454,45
"35-39","Female",215,428,428,10,0.104137578088654,45
"35-39","Female",215,428,428,11,0.0967153045527641,41
"35-39","Female",215,428,428,12,0.0914686012042202,39
"35-39","Female",215,428,428,13,0.0835802988287192,36
"35-39","Female",215,428,428,14,0.0772649141562054,33
"35-39","Female",215,428,428,15,0.0704809937542751,30
"35-39","Female",215,428,428,16,0.0627890848863417,27
"35-39","Female",215,428,428,17,0.0530545593145742,23
"35-39","Male",312,694,694,0,0.0782017,54
"35-39","Male",312,694,694,1,0.0831291918,58
"35-39","Male",312,694,694,2,0.0877685886,61
"35-39","Male",312,694,694,3,0.094887663,66
"35-39","Male",312,694,694,4,0.101604757,71
"35-39","Male",312,694,694,5,0.107092503,74
"35-39","Male",312,694,694,6,0.101191904,70
"35-39","Male",312,694,694,7,0.0966132366,67
"35-39","Male",312,694,694,8,0.095092392,66
"35-39","Male",312,694,694,9,0.0891337602,62
"35-39","Male",312,694,694,10,0.084593232,59
"35-39","Male",312,694,694,11,0.07629237,53
"35-39","Male",312,694,694,12,0.0697337234,48
"35-39","Male",312,694,694,13,0.0608533054,42
"35-39","Male",312,694,694,14,0.053193616,37
"35-39","Male",312,694,694,15,0.0453994917731772,32
"35-39","Male",312,694,694,16,0.0445286546620819,31
"35-39","Male",312,694,694,17,0.0419712392739587,29
"40-44","Female",334,474,474,0,0.0147460575781173,7
"40-44","Female",334,474,474,1,0.0245226087466336,12
"40-44","Female",334,474,474,2,0.034244835450874,16
"40-44","Female",334,474,474,3,0.0450047185091266,21
"40-44","Female",334,474,474,4,0.0564524780899727,27
"40-44","Female",334,474,474,5,0.0660394975863293,31
"40-44","Female",334,474,474,6,0.0736622838390964,35
"40-44","Female",334,474,474,7,0.0814853496172678,39
"40-44","Female",334,474,474,8,0.0937997028354349,44
"40-44","Female",334,474,474,9,0.101931326669739,48
"40-44","Female",334,474,474,10,0.112298665024685,53
"40-44","Female",334,474,474,11,0.107465582862856,51
"40-44","Female",334,474,474,12,0.10710180296629,51
"40-44","Female",334,474,474,13,0.103136734971236,49
"40-44","Female",334,474,474,14,0.0990130325793704,47
"40-44","Female",334,474,474,15,0.0959697375669432,45
"40-44","Female",334,474,474,16,0.0915374484086671,43
"40-44","Female",334,474,474,17,0.0853689005512633,40
"40-44","Male",534,894,894,0,0.03576358,32
"40-44","Male",534,894,894,1,0.0444142254,40
"40-44","Male",534,894,894,2,0.0529331178,47
"40-44","Male",534,894,894,3,0.0632317788,57
"40-44","Male",534,894,894,4,0.074028894,66
"40-44","Male",534,894,894,5,0.083594148,75
"40-44","Male",534,894,894,6,0.0871730256,78
"40-44","Male",534,894,894,7,0.0917135796,82
"40-44","Male",534,894,894,8,0.1003519712,90
"40-44","Male",534,894,894,9,0.1046326752,94
"40-44","Male",534,894,894,10,0.111291096,99
"40-44","Male",534,894,894,11,0.10348965,93
"40-44","Male",534,894,894,12,0.100090991,89
"40-44","Male",534,894,894,13,0.0928297876,83
"40-44","Male",534,894,894,14,0.0855697304,76
"40-44","Male",534,894,894,15,0.0781991245960893,70
"40-44","Male",534,894,894,16,0.0725189526885053,65
"40-44","Male",534,894,894,17,0.0647391033528642,58
"45-49","Female",620,495,620,0,0.00116383101851852,1
"45-49","Female",620,495,620,1,0.00389457126532354,2
"45-49","Female",620,495,620,2,0.00662102395959095,4
"45-49","Female",620,495,620,3,0.00934537637619704,6
"45-49","Female",620,495,620,4,0.0119547210494954,7
"45-49","Female",620,495,620,5,0.0140359849708758,9
"45-49","Female",620,495,620,6,0.0238742651895689,15
"45-49","Female",620,495,620,7,0.0332377396379869,21
"45-49","Female",620,495,620,8,0.0436620056211107,27
"45-49","Female",620,495,620,9,0.0523628909346576,32
"45-49","Female",620,495,620,10,0.0602500434170413,37
"45-49","Female",620,495,620,11,0.0682374236151124,42
"45-49","Female",620,495,620,12,0.0786256097579155,49
"45-49","Female",620,495,620,13,0.0872763979181942,54
"45-49","Female",620,495,620,14,0.093441075603948,58
"45-49","Female",620,495,620,15,0.0999022453264937,62
"45-49","Female",620,495,620,16,0.0987188984502936,61
"45-49","Female",620,495,620,17,0.0949916649262171,59
"45-49","Male",993,1148,1148,0,0.01175516,13
"45-49","Male",993,1148,1148,1,0.0166178394,19
"45-49","Male",993,1148,1148,2,0.0214372128,25
"45-49","Male",993,1148,1148,3,0.0269764926,31
"45-49","Male",993,1148,1148,4,0.0319952,37
"45-49","Male",993,1148,1148,5,0.03599748,41
"45-49","Male",993,1148,1148,6,0.0448564112,51
"45-49","Male",993,1148,1148,7,0.0533562648,61
"45-49","Male",993,1148,1148,8,0.0644148464,74
"45-49","Male",993,1148,1148,9,0.0719549628,83
"45-49","Male",993,1148,1148,10,0.080293576,92
"45-49","Male",993,1148,1148,11,0.083711628,96
"45-49","Male",993,1148,1148,12,0.090791828,104
"45-49","Male",993,1148,1148,13,0.095789462,110
"45-49","Male",993,1148,1148,14,0.0995080576,114
"45-49","Male",993,1148,1148,15,0.102598851452158,118
"45-49","Male",993,1148,1148,16,0.0975785907797066,112
"45-49","Male",993,1148,1148,17,0.0905387460236071,104
"50-54","Female",1105,1029,1105,0,0,0
"50-54","Female",1105,1029,1105,1,0.000233623714211224,0
"50-54","Female",1105,1029,1105,2,0.000467247428422448,1
"50-54","Female",1105,1029,1105,3,0.000688398597708156,1
"50-54","Female",1105,1029,1105,4,0.000882273372075288,1
"50-54","Female",1105,1029,1105,5,0.00104758904287664,1
"50-54","Female",1105,1029,1105,6,0.00350367847504593,4
"50-54","Female",1105,1029,1105,7,0.00595940259787274,7
"50-54","Female",1105,1029,1105,8,0.00858499000863478,9
"50-54","Female",1105,1029,1105,9,0.0108197890502744,12
"50-54","Female",1105,1029,1105,10,0.0125052892365399,14
"50-54","Female",1105,1029,1105,11,0.0212921753983827,24
"50-54","Female",1105,1029,1105,12,0.0302612672690518,33
"50-54","Female",1105,1029,1105,13,0.0384838155962596,43
"50-54","Female",1105,1029,1105,14,0.0450693221861008,50
"50-54","Female",1105,1029,1105,15,0.0502714807758772,56
"50-54","Female",1105,1029,1105,16,0.058911233044115,65
"50-54","Female",1105,1029,1105,17,0.065741453725545,73
"50-54","Male",1780,2525,2525,0,0.0036,9
"50-54","Male",1780,2525,2525,1,0.0052396932,13
"50-54","Male",1780,2525,2525,2,0.0068793864,17
"50-54","Male",1780,2525,2525,3,0.0087390562,22
"50-54","Male",1780,2525,2525,4,0.01035856,26
"50-54","Male",1780,2525,2525,5,0.011799174,30
"50-54","Male",1780,2525,2525,6,0.0164586832,42
"50-54","Male",1780,2525,2525,7,0.0207585468,52
"50-54","Male",1780,2525,2525,8,0.0262379008,66
"50-54","Male",1780,2525,2525,9,0.0303178776,77
"50-54","Male",1780,2525,2525,10,0.03399728,86
"50-54","Male",1780,2525,2525,11,0.041815818,106
"50-54","Male",1780,2525,2525,12,0.050395464,127
"50-54","Male",1780,2525,2525,13,0.0579136288,146
"50-54","Male",1780,2525,2525,14,0.0639723224,162
"50-54","Male",1780,2525,2525,15,0.068599232062554,173
"50-54","Male",1780,2525,2525,16,0.0742789272711275,188
"50-54","Male",1780,2525,2525,17,0.0782189166552523,198
"55-59","Female",1685,2184,2184,0,0,0
"55-59","Female",1685,2184,2184,1,0,0
"55-59","Female",1685,2184,2184,2,0,0
"55-59","Female",1685,2184,2184,3,0,0
"55-59","Female",1685,2184,2184,4,0,0
"55-59","Female",1685,2184,2184,5,0,0
"55-59","Female",1685,2184,2184,6,0.000189923769443318,0
"55-59","Female",1685,2184,2184,7,0.000383149816823456,1
"55-59","Female",1685,2184,2184,8,0.000565667400103977,1
"55-59","Female",1685,2184,2184,9,0.000705189204691453,2
"55-59","Female",1685,2184,2184,10,0.000858702932426689,2
"55-59","Female",1685,2184,2184,11,0.00306495327219696,7
"55-59","Female",1685,2184,2184,12,0.00519235550552672,11
"55-59","Female",1685,2184,2184,13,0.00711667982858962,16
"55-59","Female",1685,2184,2184,14,0.00876010532182246,19
"55-59","Female",1685,2184,2184,15,0.0102848296126545,22
"55-59","Female",1685,2184,2184,16,0.017688938599604,39
"55-59","Female",1685,2184,2184,17,0.0241345257916617,53
"55-59","Male",3017,4439,4439,0,0.0012,5
"55-59","Male",3017,4439,4439,1,0.00168,7
"55-59","Male",3017,4439,4439,2,0.00216,10
"55-59","Male",3017,4439,4439,3,0.00274,12
"55-59","Male",3017,4439,4439,4,0.0033,15
"55-59","Male",3017,4439,4439,5,0.0038,17
"55-59","Male",3017,4439,4439,6,0.0053798128,24
"55-59","Male",3017,4439,4439,7,0.0067796808,30
"55-59","Male",3017,4439,4439,8,0.0086994288,39
"55-59","Male",3017,4439,4439,9,0.0100193504,44
"55-59","Male",3017,4439,4439,10,0.011399088,51
"55-59","Male",3017,4439,4439,11,0.015538446,69
"55-59","Male",3017,4439,4439,12,0.0196182342,87
"55-59","Male",3017,4439,4439,13,0.023297437,103
"55-59","Male",3017,4439,4439,14,0.0262768464,117
"55-59","Male",3017,4439,4439,15,0.0292996720033941,130
"55-59","Male",3017,4439,4439,16,0.0362594763442527,161
"55-59","Male",3017,4439,4439,17,0.0420994169162123,187
"60-64","Female",2432,2844,2844,0,0,0
"60-64","Female",2432,2844,2844,1,0,0
"60-64","Female",2432,2844,2844,2,0,0
"60-64","Female",2432,2844,2844,3,0,0
"60-64","Female",2432,2844,2844,4,0,0
"60-64","Female",2432,2844,2844,5,0,0
"60-64","Female",2432,2844,2844,6,0,0
"60-64","Female",2432,2844,2844,7,0,0
"60-64","Female",2432,2844,2844,8,0,0
"60-64","Female",2432,2844,2844,9,0,0
"60-64","Female",2432,2844,2844,10,0,0
"60-64","Female",2432,2844,2844,11,0.00016191627421298,0
"60-64","Female",2432,2844,2844,12,0.000293312465463868,1
"60-64","Female",2432,2844,2844,13,0.000414413075025778,1
"60-64","Female",2432,2844,2844,14,0.000518396758980082,1
"60-64","Female",2432,2844,2844,15,0.000608480442173387,2
"60-64","Female",2432,2844,2844,16,0.00239698716856132,7
"60-64","Female",2432,2844,2844,17,0.00403014565933459,11
"60-64","Male",4477,5381,5381,0,0.00206061504307572,11
"60-64","Male",4477,5381,5381,1,0.00188849203446058,10
"60-64","Male",4477,5381,5381,2,0.00171636902584543,9
"60-64","Male",4477,5381,5381,3,0.00177137186664032,10
"60-64","Male",4477,5381,5381,4,0.00153591343924161,8
"60-64","Male",4477,5381,5381,5,0.0012,6
"60-64","Male",4477,5381,5381,6,0.00172,9
"60-64","Male",4477,5381,5381,7,0.0022,12
"60-64","Male",4477,5381,5381,8,0.00282,15
"60-64","Male",4477,5381,5381,9,0.0032,17
"60-64","Male",4477,5381,5381,10,0.0036,19
"60-64","Male",4477,5381,5381,11,0.005039776,27
"60-64","Male",4477,5381,5381,12,0.0064796004,35
"60-64","Male",4477,5381,5381,13,0.0077392938,42
"60-64","Male",4477,5381,5381,14,0.0087990208,47
"60-64","Male",4477,5381,5381,15,0.00969989141409292,52
"60-64","Male",4477,5381,5381,16,0.0132198090808334,71
"60-64","Male",4477,5381,5381,17,0.0161997756304665,87
"65-69","Female",3400,906,3400,0,0,0
"65-69","Female",3400,906,3400,1,0,0
"65-69","Female",3400,906,3400,2,0,0
"65-69","Female",3400,906,3400,3,0,0
"65-69","Female",3400,906,3400,4,0,0
"65-69","Female",3400,906,3400,5,0,0
"65-69","Female",3400,906,3400,6,0,0
"65-69","Female",3400,906,3400,7,0,0
"65-69","Female",3400,906,3400,8,0,0
"65-69","Female",3400,906,3400,9,0,0
"65-69","Female",3400,906,3400,10,0,0
"65-69","Female",3400,906,3400,11,0,0
"65-69","Female",3400,906,3400,12,0,0
"65-69","Female",3400,906,3400,13,0,0
"65-69","Female",3400,906,3400,14,0,0
"65-69","Female",3400,906,3400,15,0,0
"65-69","Female",3400,906,3400,16,0.000103931903896712,0
"65-69","Female",3400,906,3400,17,0.000203639704305281,1
"65-69","Male",5828,2472,5828,0,0,0
"65-69","Male",5828,2472,5828,1,0.000412123008615144,2
"65-69","Male",5828,2472,5828,2,0.000824246017230288,5
"65-69","Male",5828,2472,5828,3,0.00148705779996049,9
"65-69","Male",5828,2472,5828,4,0.00198365375696644,12
"65-69","Male",5828,2472,5828,5,0.00245859223185463,14
"65-69","Male",5828,2472,5828,6,0.0021703980903575,13
"65-69","Male",5828,2472,5828,7,0.00188666754498673,11
"65-69","Male",5828,2472,5828,8,0.00161891492174984,9
"65-69","Male",5828,2472,5828,9,0.0013101821275401,8
"65-69","Male",5828,2472,5828,10,0.0011,6
"65-69","Male",5828,2472,5828,11,0.00158,9
"65-69","Male",5828,2472,5828,12,0.00202,12
"65-69","Male",5828,2472,5828,13,0.00238,14
"65-69","Male",5828,2472,5828,14,0.00276,16
"65-69","Male",5828,2472,5828,15,0.003,17
"65-69","Male",5828,2472,5828,16,0.00411997284961928,24
"65-69","Male",5828,2472,5828,17,0.00513995124810136,30
"70-74","Female",5377,6349,6349,0,0,0
"70-74","Female",5377,6349,6349,1,0,0
"70-74","Female",5377,6349,6349,2,0,0
"70-74","Female",5377,6349,6349,3,0,0
"70-74","Female",5377,6349,6349,4,0,0
"70-74","Female",5377,6349,6349,5,0,0
"70-74","Female",5377,6349,6349,6,0,0
"70-74","Female",5377,6349,6349,7,0,0
"70-74","Female",5377,6349,6349,8,0,0
"70-74","Female",5377,6349,6349,9,0,0
"70-74","Female",5377,6349,6349,10,0,0
"70-74","Female",5377,6349,6349,11,0,0
"70-74","Female",5377,6349,6349,12,0,0
"70-74","Female",5377,6349,6349,13,0,0
"70-74","Female",5377,6349,6349,14,0,0
"70-74","Female",5377,6349,6349,15,0,0
"70-74","Female",5377,6349,6349,16,0,0
"70-74","Female",5377,6349,6349,17,0,0
"70-74","Male",8963,9745,9745,0,0,0
"70-74","Male",8963,9745,9745,1,0,0
"70-74","Male",8963,9745,9745,2,0,0
"70-74","Male",8963,9745,9745,3,0,0
"70-74","Male",8963,9745,9745,4,0,0
"70-74","Male",8963,9745,9745,5,0,0
"70-74","Male",8963,9745,9745,6,0.000482599522589376,5
"70-74","Male",8963,9745,9745,7,0.000937778363324484,9
"70-74","Male",8963,9745,9745,8,0.00134837238262475,13
"70-74","Male",8963,9745,9745,9,0.00140072851016042,14
"70-74","Male",8963,9745,9745,10,0.00172480725067608,17
"70-74","Male",8963,9745,9745,11,0.00158750022118891,15
"70-74","Male",8963,9745,9745,12,0.00146152216237325,14
"70-74","Male",8963,9745,9745,13,0.00129205045490898,13
"70-74","Male",8963,9745,9745,14,0.00123448720883892,12
"70-74","Male",8963,9745,9745,15,0.001,10
"70-74","Male",8963,9745,9745,16,0.00136,13
"70-74","Male",8963,9745,9745,17,0.00162,16
"75-79","Female",7780,7916,7916,0,0,0
"75-79","Female",7780,7916,7916,1,0,0
"75-79","Female",7780,7916,7916,2,0,0
"75-79","Female",7780,7916,7916,3,0,0
"75-79","Female",7780,7916,7916,4,0,0
"75-79","Female",7780,7916,7916,5,0,0
"75-79","Female",7780,7916,7916,6,0,0
"75-79","Female",7780,7916,7916,7,0,0
"75-79","Female",7780,7916,7916,8,0,0
"75-79","Female",7780,7916,7916,9,0,0
"75-79","Female",7780,7916,7916,10,0,0
"75-79","Female",7780,7916,7916,11,0,0
"75-79","Female",7780,7916,7916,12,0,0
"75-79","Female",7780,7916,7916,13,0,0
"75-79","Female",7780,7916,7916,14,0,0
"75-79","Female",7780,7916,7916,15,0,0
"75-79","Female",7780,7916,7916,16,0,0
"75-79","Female",7780,7916,7916,17,0,0
"75-79","Male",11993,12269,12269,0,0,0
"75-79","Male",11993,12269,12269,1,0,0
"75-79","Male",11993,12269,12269,2,0,0
"75-79","Male",11993,12269,12269,3,0,0
