age,gender,year,value,country,pop_nb,value_sample,rate
25-29,F,2016,196132,England_Wales,1985584,196335,98.88022868838588
25-29,F,2017,190028,England_Wales,1993681,191253,95.92958953814578
25-29,F,2018,180858,England_Wales,1981361,180993,91.34781597094118
30-34,F,2002,180532,England_Wales,2010113,179900,89.49745611316379
30-34,F,2003,187214,England_Wales,1974793,187635,95.01502182760422
30-34,F,2004,190550,England_Wales,1919327,190296,99.14725317780659
30-34,F,2005,188153,England_Wales,1883350,188193,99.92460243714658
30-34,F,2006,189407,England_Wales,1831721,189666,103.54524515469332
30-34,F,2007,191124,England_Wales,1773284,190919,107.66408539184924
30-34,F,2008,192450,England_Wales,1752312,192191,109.67852756814996
30-34,F,2009,191600,England_Wales,1762041,191712,108.80110054192836
30-34,F,2010,202457,England_Wales,1802700,202944,112.5777999667166
30-34,F,2011,207151,England_Wales,1851379,206596,111.5903334757497
30-34,F,2012,216242,England_Wales,1898383,216492,114.04021211736514
30-34,F,2013,212306,England_Wales,1941202,212663,109.55222588890801
30-34,F,2014,215642,England_Wales,1954100,215703,110.38483189191956
30-34,F,2015,217755,England_Wales,1961398,217378,110.82809302344552
30-34,F,2016,220129,England_Wales,1966190,220063,111.92356791561345
30-34,F,2017,216787,England_Wales,1975104,216599,109.66460500307832
30-34,F,2018,212707,England_Wales,1992159,211957,106.39562404406476
35-39,F,2002,90449,England_Wales,2103784,90852,43.18504181037597
35-39,F,2003,97386,England_Wales,2100222,97421,46.38604871294558
35-39,F,2004,102228,England_Wales,2093969,102102,48.760034174335914
35-39,F,2005,104113,England_Wales,2070992,103906,50.17209144216878
35-39,F,2006,110509,England_Wales,2059965,110205,53.49848177032134
35-39,F,2007,115380,England_Wales,2040482,115362,56.536641832665026
35-39,F,2008,116220,England_Wales,2009443,116524,57.988208672751604
35-39,F,2009,114288,England_Wales,1966383,113969,57.95869878858798
35-39,F,2010,115841,England_Wales,1922517,116433,60.56279346294467
35-39,F,2011,115444,England_Wales,1858048,115070,61.930585216313034
35-39,F,2012,114797,England_Wales,1803418,115247,63.90476306657691
35-39,F,2013,111500,England_Wales,1772480,111465,62.886464163206355
35-39,F,2014,115171,England_Wales,1785685,115678,64.78074240417543
35-39,F,2015,120614,England_Wales,1826264,120182,65.80757218014482
35-39,F,2016,125205,England_Wales,1871281,124776,66.6794564792781
35-39,F,2017,125114,England_Wales,1920620,124734,64.94465328904208
35-39,F,2018,124567,England_Wales,1964167,124483,63.37699391141385
40-44,F,2002,16441,England_Wales,1905417,16429,8.622259589370726
40-44,F,2003,18205,England_Wales,1955037,18184,9.301102741278042
40-44,F,2004,19884,England_Wales,2007179,19824,9.876548130485622
40-44,F,2005,21155,England_Wales,2056890,21207,10.310225631900588
40-44,F,2006,22512,England_Wales,2086487,22829,10.941357410805818
40-44,F,2007,24041,England_Wales,2108503,23864,11.317982473821475
40-44,F,2008,24991,England_Wales,2103259,25245,12.00280136683119
40-44,F,2009,25357,England_Wales,2097761,25318,12.069058391303871
40-44,F,2010,25973,England_Wales,2076795,25934,12.487510803906982
40-44,F,2011,27518,England_Wales,2068199,27069,13.088198959577875
40-44,F,2012,28019,England_Wales,2048039,28039,13.690657257991669
40-44,F,2013,27148,England_Wales,2016544,27327,13.551402796070901
40-44,F,2014,27021,England_Wales,1969315,26532,13.472704976095748
40-44,F,2015,27065,England_Wales,1928123,27067,14.038004836828355
40-44,F,2016,27447,England_Wales,1870975,27812,14.86497681690028
40-44,F,2017,26956,England_Wales,1819794,26589,14.610994431237822
40-44,F,2018,26499,England_Wales,1790194,26770,14.953686583688695
45-49,F,2002,895,England_Wales,1688650,896,0.5306013679566518
45-49,F,2003,875,England_Wales,1718698,905,0.5265613854208243
45-49,F,2004,909,England_Wales,1749197,926,0.529385769584558
45-49,F,2005,1091,England_Wales,1792971,1085,0.605140852807993
45-49,F,2006,1194,England_Wales,1842383,1209,0.6562153471889396
45-49,F,2007,1309,England_Wales,1895002,1343,0.708706376035487
45-49,F,2008,1428,England_Wales,1947236,1382,0.7097239369033851
45-49,F,2009,1619,England_Wales,1999599,1629,0.8146633399996699
45-49,F,2010,1758,England_Wales,2047110,1736,0.8480247763920844
45-49,F,2011,1832,England_Wales,2078162,1788,0.8603756588754871
45-49,F,2012,1975,England_Wales,2094703,1959,0.9352161141698847
45-49,F,2013,2010,England_Wales,2098249,1955,0.9317292656877234
45-49,F,2014,1989,England_Wales,2094357,2003,0.9563794520227449
45-49,F,2015,2176,England_Wales,2077005,2213,1.065476491390247
45-49,F,2016,2286,England_Wales,2072516,2309,1.114104788575818
45-49,F,2017,2357,England_Wales,2054066,2440,1.1878878283365772
45-49,F,2018,2366,England_Wales,2025216,2370,1.1702455441789912
