"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Paraguay","Americas",2021-12-31,13878.5411701017,8914.46009295973,20087.5383324053,10607.9535131629,6036.89815565169,16855.5541203031,9770.19304321278,5489.99385603851,15705.5536180233
"Peru","Americas",2021-12-31,171709.779284713,159911.317923575,183498.191858313,124174.852244221,115642.593904997,132699.843631541,116172.173368685,108189.792257722,124147.755859948
"Philippines","Western Pacific",2021-12-31,109467.783604384,87883.9050588181,130970.705752817,77099.3548918917,61897.5936326876,92244.0976769128,69605.1236688493,55881.0078975187,83277.7632903147
"Poland","Eastern European",2021-12-31,18824.0865593412,18560.6067374167,19089.7585497304,8656.75585599335,8535.58766628114,8778.93217256119,6561.18385289938,6469.34728235842,6653.78450940475
"Portugal","European",2021-12-31,537.015138617041,310.803296047117,926.313605865568,324.158349766816,164.838872537533,634.122887803827,297.779992968723,150.154872827681,587.265675806008
"Qatar","Eastern Mediterranean",2021-12-31,414.594448173263,232.61628158256,696.909229403281,236.603832444389,116.801623447986,450.26785363561,212.41848695549,103.923113744274,408.148495598195
"Republic of Korea","Western Pacific",2021-12-31,396.230755103355,216.099692404304,702.318068796893,153.493862199499,73.9575065495129,306.677864953013,134.122122078687,64.1088292541565,270.149855979777
"Republic of Moldova","Eastern European",2021-12-31,1887.80259315846,1118.09774119619,3175.73424377014,830.911726159533,430.774253319147,1604.9887918608,732.29260274023,376.224117488286,1428.19709523025
"Romania","Eastern European",2021-12-31,22150.593051892,13362.3216425349,36009.5823873214,11746.9167567522,6176.41645524605,21987.3172259647,10488.7580117916,5463.11932390013,19844.3183401191
"Russian Federation","Eastern European",2021-12-31,150295.338085081,132490.116228406,168397.995376166,79047.0645348361,69682.4991458219,88568.0645696498,59282.0790859632,52259.0364307542,66422.4413544765
"Rwanda","African ",2021-12-31,10805.8956517874,3198.84411322877,18335.3484822636,9892.41425731313,2926.25864937046,16753.3773623446,9411.09136888023,2784.2495768805,15939.5620566716
"Saint Lucia","Americas",2021-12-31,44.7219890604175,23.6780897359905,79.780834135989,20.4647728102043,9.61596970938727,41.3368911502883,18.0838076459371,8.41758340591362,36.9011704781334
"Saint Vincent and the Grenadines","Americas",2021-12-31,141.503903326398,79.0313168554158,236.962870145209,82.3016566070447,40.6063489074542,155.875842870982,73.9963932234325,36.1671710635089,141.357594728602
"San Marino","European",2021-12-31,5.40812273507199,3.00081556228629,9.66888470995615,3.41212087688516,1.65060204143456,6.99476135627223,3.14362293223304,1.50631738509078,6.50395641265261
"Sao Tome and Principe","African ",2021-12-31,399.138187858975,251.704344379844,541.739734868788,360.331194644453,227.370370822153,488.858920931435,342.863228572174,216.348148632527,465.153856575437
"Saudi Arabia","Eastern Mediterranean",2021-12-31,9708.54899850498,3299.6547925139,18358.2704892008,6880.868916331,2207.77278695549,14074.933674377,6290.42322371096,2003.12563947951,12984.4491909293
"Senegal","African ",2021-12-31,35175.3220557385,24360.2168394775,45809.0672270806,31515.0546709434,21857.766604153,41013.8175345924,29985.6003543056,20795.8427382603,39021.8522049012
"Serbia","European",2021-12-31,1706.17313115887,978.10605413877,2934.29066696226,1067.97667440641,537.535079922333,2086.85155638356,983.42354405902,490.76944822406,1938.11405925679
"Seychelles","African ",2021-12-31,5.55476983123619,-34.2361318268067,46.4881834373335,4.26585495584916,-26.8503491944719,37.0051106714969,3.9309071306741,-24.7738492822167,34.3263044074432
"Sierra Leone","African ",2021-12-31,16072.4849932355,10222.8617941592,21916.9817692374,14634.286874892,9312.74329326193,19941.3881617119,13924.1060972042,8860.81545244785,18974.108861296
"Singapore","Western Pacific",2021-12-31,133.193104183381,77.4796666110982,225.786298127087,56.525726982543,28.7491762356514,109.669506599847,49.6940734859183,25.0608441292818,97.2849818271383
