"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Sudan","Eastern Mediterranean",2021-12-31,174985.10460962,131485.825324911,218315.375225835,157590.42067121,118504.46888267,196644.846622049,149949.43854269,112759.474429554,187108.489101559
"Suriname","Americas",2021-12-31,1773.63555875711,796.687433364071,3044.50575756344,1347.58151911245,571.556521793357,2501.12774686352,1240.3855932775,522.945943837141,2326.93697031593
"Sweden","European",2021-12-31,1378.9158316879,806.418591754424,2390.37412831318,1069.16708317397,550.854826005512,2111.30826519822,998.65266543001,510.215279469351,1989.10762754649
"Switzerland","European",2021-12-31,638.500770383675,368.078345562585,1097.93843056297,428.374816391741,217.57760744052,832.659022231387,396.274851738428,199.593959060082,776.694800570592
"Syrian Arab Republic","Eastern Mediterranean",2021-12-31,28667.0006762594,16603.267230857,43002.043257146,24715.7707858896,13604.7723524032,38440.8470045983,23091.5638637653,12587.9410537924,36097.0278984459
"Tajikistan","European",2021-12-31,33910.9276633029,25248.548890759,42539.004420241,38677.2826313662,29653.3182541466,45996.6272336542,37169.7496689526,28536.1004568796,44083.0501713386
"United Republic of Tanzania","African ",2021-12-31,282992.373301477,187287.237578761,383757.563442225,252144.702281806,166922.68710681,341905.070225032,239887.978526429,158812.105835173,325283.371578064
"Thailand","South-East Asia",2021-12-31,4995.5814285883,2803.33404288254,8583.59277347225,2387.50125447666,1173.96972450085,4687.47951714347,2116.07443957593,1032.68199570051,4198.30677810409
"Timor-Leste","South-East Asia",2021-12-31,2501.62271874954,1844.17062256969,3138.77044182365,2303.6192206642,1701.11951021035,2878.8556988816,2190.8861151923,1617.1356305833,2738.39154624842
"Togo","African ",2021-12-31,18743.8837325803,13276.9987937425,24175.0239761007,16932.972037172,12018.4907493614,21849.194586138,16112.1185652024,11434.6181886416,20788.915217347
"Trinidad and Tobago","Americas",2021-12-31,1117.03217306431,468.712694702012,2129.23094545658,600.754313306597,231.503385019047,1278.67933041674,536.960771035229,205.354373601195,1154.95147805432
"Tunisia","Eastern Mediterranean",2021-12-31,34791.7601158671,21365.4835464543,53339.6927005618,23667.4683395643,12855.9618164031,40857.1688260181,21555.7987597263,11573.7256129604,37645.6225334208
"Turkey","European",2021-12-31,19353.7801721878,11145.5674074041,33681.8012800784,16162.9137751701,8227.94825490554,31734.7752055038,15172.9690784402,7661.63380290204,30012.4239203524
"Uganda","African ",2021-12-31,156482.634920781,114340.774736873,199876.576742259,139907.91107511,102343.55728435,178394.721028666,133114.367939537,97378.8345388981,169735.020524108
"Ukraine","Eastern European",2021-12-31,24370.7182782231,14627.1533294236,40452.0923584957,11484.1004390575,6030.10125898405,21957.3913088604,10168.5417861575,5291.19887323659,19635.3556429451
"United Arab Emirates","Eastern Mediterranean",2021-12-31,1062.53018694103,566.824274730784,1852.17396226211,478.815903785133,225.266360090117,938.910400135699,422.66412888372,196.949322194001,837.463503862892
"United Kingdom","European",2021-12-31,13613.4532305034,13155.0893334949,14063.4298560461,11748.7151588851,11353.1368457351,12137.0550688362,11281.4490063682,10901.603507735,11654.3439852662
"Uruguay","Americas",2021-12-31,3462.87328246711,2110.62124895678,5438.35964985137,2143.91013406409,1148.15188796445,3806.72100283951,1937.09854751991,1027.11099830145,3477.73266624863
"United States of America","Americas",2021-12-31,213753.816830421,203704.111181328,223432.460934309,182166.186635074,173601.583756648,190414.561865735,169977.605241764,161986.05250625,177674.088846879
"Uzbekistan","European",2021-12-31,13826.3739446864,8169.541164507,22625.0797861181,13378.2940096013,7031.03905058032,24066.0291158447,12687.3119328611,6612.38956456351,22983.3536756679
"Vanuatu","Western Pacific",2021-12-31,67.7140635816593,6.10247015302861,128.00149516986,62.2958363966407,5.61085504628296,117.811896202456,59.2509524532147,5.33691760399993,112.04928343773
"Venezuela (Bolivarian Republic of)","Americas",2021-12-31,91157.3047338304,58554.8849269753,135389.116911832,64909.0458327221,36538.9748727802,108462.431816049,59365.1698757776,33054.0704999325,100306.059769918
