X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0.018010036438061212,0.01801090332042934,0.018012018158274735,0.001154633116540146,0.0012037972288525354,0.0012963821687180872,0.0014619118254814538,0.0014733480199290642,0,0,0,0,0,0,0,0,0,0
0.018010036438061212,0.01801090332042934,0.018012018158274735,0.01801317614502485,0.0012037972288525354,0.0012963821687180872,0.0014619118254814538,0.0014733480199290642,0.0015781983110819964,0,0,0,0,0,0,0,0,0
0.018010036438061212,0.01801090332042934,0.018012018158274735,0.01801317614502485,0.019225784748395886,0.0012963821687180872,0.0014619118254814538,0.0014733480199290642,0.0015781983110819964,0.0015781917109861682,0,0,0,0,0,0,0,0
0.07790800053174238,0.01801090332042934,0.018012018158274735,0.01801317614502485,0.019225784748395886,0.02074648589934425,0.0014619118254814538,0.0014733480199290642,0.0015781983110819964,0.0015781917109861682,0.0016712970629331272,0,0,0,0,0,0,0
0.07790800053174238,0.07791175050039066,0.018012018158274735,0.01801317614502485,0.019225784748395886,0.02074648589934425,0.023020663673343454,0.0014733480199290642,0.0015781983110819964,0.0015781917109861682,0.0016712970629331272,0.0019937926719799798,0,0,0,0,0,0
0.07790800053174238,0.07791175050039066,0.07791657307738824,0.01801317614502485,0.019225784748395886,0.02074648589934425,0.023020663673343454,0.024280235653412023,0.0015781983110819964,0.0015781917109861682,0.0016712970629331272,0.0019937926719799798,0.0019753848062474427,0,0,0,0,0
0.07790800053174238,0.07791175050039066,0.07791657307738824,0.07792158230836087,0.019225784748395886,0.02074648589934425,0.023020663673343454,0.024280235653412023,0.025242056455550343,0.0015781917109861682,0.0016712970629331272,0.0019937926719799798,0.0019753848062474427,0.0018812888267282209,0,0,0,0
0.07790800053174238,0.07791175050039066,0.07791657307738824,0.07792158230836087,0.08114724859615333,0.02074648589934425,0.023020663673343454,0.024280235653412023,0.025242056455550343,0.025241950892142793,0.0016712970629331272,0.0019937926719799798,0.0019753848062474427,0.0018812888267282209,0.0018812872162117676,0,0,0
0.1208324910297962,0.07791175050039066,0.07791657307738824,0.07792158230836087,0.08114724859615333,0.08483041147054689,0.023020663673343454,0.024280235653412023,0.025242056455550343,0.025241950892142793,0.026858439991780354,0.0019937926719799798,0.0019753848062474427,0.0018812888267282209,0.0018812872162117676,0.001878484869248514,0,0
0.1208324910297962,0.12083830709553993,0.07791657307738824,0.07792158230836087,0.08114724859615333,0.08483041147054689,0.08755744398080359,0.024280235653412023,0.025242056455550343,0.025241950892142793,0.026858439991780354,0.027679984123580345,0.0019753848062474427,0.0018812888267282209,0.0018812872162117676,0.001878484869248514,0.0018784887180437722,0
0.1208324910297962,0.12083830709553993,0.12084578673803908,0.07792158230836087,0.08114724859615333,0.08483041147054689,0.08755744398080359,0.08842595088554414,0.025242056455550343,0.025241950892142793,0.026858439991780354,0.027679984123580345,0.02766150688788078,0.0018812888267282209,0.0018812872162117676,0.001878484869248514,0.0018784887180437722,0.001878486794619044
0.1208324910297962,0.12083830709553993,0.12084578673803908,0.12085355587410256,0.08114724859615333,0.08483041147054689,0.08755744398080359,0.08842595088554414,0.08832373228151648,0.025241950892142793,0.026858439991780354,0.027679984123580345,0.02766150688788078,0.02690709495622945,0.0018812872162117676,0.001878484869248514,0.0018784887180437722,0.001878486794619044
0.1208324910297962,0.12083830709553993,0.12084578673803908,0.12085355587410256,0.12303537115498132,0.08483041147054689,0.08755744398080359,0.08842595088554414,0.08832373228151648,0.08832336290772304,0.026858439991780354,0.027679984123580345,0.02766150688788078,0.02690709495622945,0.026907071921850823,0.001878484869248514,0.0018784887180437722,0.001878486794619044
0.09227726776973064,0.12083830709553993,0.12084578673803908,0.12085355587410256,0.12303537115498132,0.12651608848494145,0.08755744398080359,0.08842595088554414,0.08832373228151648,0.08832336290772304,0.09399171687475219,0.027679984123580345,0.02766150688788078,0.02690709495622945,0.026907071921850823,0.026866991411740263,0.0018784887180437722,0.001878486794619044
0.09227726776973064,0.09228170937853492,0.12084578673803908,0.12085355587410256,0.12303537115498132,0.12651608848494145,0.13142434501941816,0.08842595088554414,0.08832373228151648,0.08832336290772304,0.09399171687475219,0.0945115030319863,0.02766150688788078,0.02690709495622945,0.026907071921850823,0.026866991411740263,0.026867046459055702,0.001878486794619044
0.09227726776973064,0.09228170937853492,0.09228742142641072,0.12085355587410256,0.12303537115498132,0.12651608848494145,0.13142434501941816,0.1331389805748144,0.08832373228151648,0.08832336290772304,0.09399171687475219,0.0945115030319863,0.09581265506239418,0.02690709495622945,0.026907071921850823,0.026866991411740263,0.026867046459055702,0.026867018949312874
0.09227726776973064,0.09228170937853492,0.09228742142641072,0.09229335455451856,0.12303537115498132,0.12651608848494145,0.13142434501941816,0.1331389805748144,0.1370808703807654,0.08832336290772304,0.09399171687475219,0.0945115030319863,0.09581265506239418,0.09601405911795195,0.026907071921850823,0.026866991411740263,0.026867046459055702,0.026867018949312874
0.09227726776973064,0.09228170937853492,0.09228742142641072,0.09229335455451856,0.09281000186496063,0.12651608848494145,0.13142434501941816,0.1331389805748144,0.1370808703807654,0.13708029710244268,0.09399171687475219,0.0945115030319863,0.09581265506239418,0.09601405911795195,0.0960139769231184,0.026866991411740263,0.026867046459055702,0.026867018949312874
0.0388268430614704,0.09228170937853492,0.09228742142641072,0.09229335455451856,0.09281000186496063,0.09255444724332272,0.13142434501941816,0.1331389805748144,0.1370808703807654,0.13708029710244268,0.1375945143256464,0.0945115030319863,0.09581265506239418,0.09601405911795195,0.0960139769231184,0.09587095544593952,0.026867046459055702,0.026867018949312874
0.0388268430614704,0.03882871192529951,0.09228742142641072,0.09229335455451856,0.09281000186496063,0.09255444724332272,0.09064255287291782,0.1331389805748144,0.1370808703807654,0.13708029710244268,0.1375945143256464,0.13259421843432947,0.09581265506239418,0.09601405911795195,0.0960139769231184,0.09587095544593952,0.09587115187428703,0.026867018949312874
0.0388268430614704,0.03882871192529951,0.03883111534265022,0.09229335455451856,0.09281000186496063,0.09255444724332272,0.09064255287291782,0.0876737302617222,0.1370808703807654,0.13708029710244268,0.1375945143256464,0.13259421843432947,0.13093195996401746,0.09601405911795195,0.0960139769231184,0.09587095544593952,0.09587115187428703,0.09587105370976653
0.0388268430614704,0.03882871192529951,0.03883111534265022,0.03883361178234197,0.09281000186496063,0.09255444724332272,0.09064255287291782,0.0876737302617222,0.08589250844831525,0.13708029710244268,0.1375945143256464,0.13259421843432947,0.13093195996401746,0.12699407869015292,0.0960139769231184,0.09587095544593952,0.09587115187428703,0.09587105370976653
0.0388268430614704,0.03882871192529951,0.03883111534265022,0.03883361178234197,0.0385902509182904,0.09255444724332272,0.09064255287291782,0.0876737302617222,0.08589250844831525,0.08589214924200848,0.1375945143256464,0.13259421843432947,0.13093195996401746,0.12699407869015292,0.12699396997422885,0.09587095544593952,0.09587115187428703,0.09587105370976653
0.014181595351320981,0.03882871192529951,0.03883111534265022,0.03883361178234197,0.0385902509182904,0.038291435158568386,0.09064255287291782,0.0876737302617222,0.08589250844831525,0.08589214924200848,0.08528705690075242,0.13259421843432947,0.13093195996401746,0.12699407869015292,0.12699396997422885,0.12680480100362085,0.09587115187428703,0.09587105370976653
0.014181595351320981,0.014182277958210993,0.03883111534265022,0.03883361178234197,0.0385902509182904,0.038291435158568386,0.03893238067518162,0.0876737302617222,0.08589250844831525,0.08589214924200848,0.08528705690075242,0.08420427253124037,0.13093195996401746,0.12699407869015292,0.12699396997422885,0.12680480100362085,0.12680506081179113,0.09587105370976653
0.014181595351320981,0.014182277958210993,0.014183155812026565,0.03883361178234197,0.0385902509182904,0.038291435158568386,0.03893238067518162,0.03793154351147292,0.08589250844831525,0.08589214924200848,0.08528705690075242,0.08420427253124037,0.08460359496701682,0.12699407869015292,0.12699396997422885,0.12680480100362085,0.12680506081179113,0.12680493097338044
0.014181595351320981,0.014182277958210993,0.014183155812026565,0.014184067642470039,0.0385902509182904,0.038291435158568386,0.03893238067518162,0.03793154351147292,0.037777556432162886,0.08589214924200848,0.08528705690075242,0.08420427253124037,0.08460359496701682,0.08234615519166394,0.12699396997422885,0.12680480100362085,0.12680506081179113,0.12680493097338044
0.014181595351320981,0.014182277958210993,0.014183155812026565,0.014184067642470039,0.013798358008684834,0.038291435158568386,0.03893238067518162,0.03793154351147292,0.037777556432162886,0.037777398444734524,0.08528705690075242,0.08420427253124037,0.08460359496701682,0.08234615519166394,0.08234608469752401,0.12680480100362085,0.12680506081179113,0.12680493097338044
0.00508997668997669,0.014182277958210993,0.014183155812026565,0.014184067642470039,0.013798358008684834,0.013871414210765697,0.03893238067518162,0.03793154351147292,0.037777556432162886,0.037777398444734524,0.03628304272392106,0.08420427253124037,0.08460359496701682,0.08234615519166394,0.08234608469752401,0.08222342277838729,0.12680506081179113,0.12680493097338044
0.00508997668997669,0.00508997668997669,0.014183155812026565,0.014184067642470039,0.013798358008684834,0.013871414210765697,0.01390543890152539,0.03793154351147292,0.037777556432162886,0.037777398444734524,0.03628304272392106,0.03489919921512154,0.08460359496701682,0.08234615519166394,0.08234608469752401,0.08222342277838729,0.08222359124454044,0.12680493097338044
