age,gender,COVID19_deaths,child_age,nb_c,orphans
5-9,Male,15,8,0,0
5-9,Male,15,9,0,0
5-9,Male,15,10,0,0
5-9,Male,15,11,0,0
5-9,Male,15,12,0,0
5-9,Male,15,13,0,0
5-9,Male,15,14,0,0
5-9,Male,15,15,0,0
5-9,Male,15,16,0,0
5-9,Male,15,17,0,0
50-54,Female,531,0,0,0
50-54,Female,531,1,0.001420873051224944,1
50-54,Female,531,2,0.002843695441776168,2
50-54,Female,531,3,0.00426850122015915,2
50-54,Female,531,4,0.005693665023085632,3
50-54,Female,531,5,0.00728794956601188,4
50-54,Female,531,6,0.013020291260705412,7
50-54,Female,531,7,0.01903040499303942,10
50-54,Female,531,8,0.0250402521592821,13
50-54,Female,531,9,0.03104991759616288,16
50-54,Female,531,10,0.0370816763084067,20
50-54,Female,531,11,0.047570923498010245,25
50-54,Female,531,12,0.05684286710963454,30
50-54,Female,531,13,0.0661139182006511,35
50-54,Female,531,14,0.07538405499351496,40
50-54,Female,531,15,0.0844278429697766,45
50-54,Female,531,16,0.1101327398214286,58
50-54,Female,531,17,0.119742472652689,64
50-54,Male,945,0,0.00718239795918367,7
50-54,Male,945,1,0.009255363171680957,9
50-54,Male,945,2,0.011333143099162522,11
50-54,Male,945,3,0.013415821838761888,13
50-54,Male,945,4,0.016365979455380677,15
50-54,Male,945,5,0.0194425956564148,18
50-54,Male,945,6,0.02370709658352446,22
50-54,Male,945,7,0.02826909307346296,27
50-54,Male,945,8,0.0361418101583064,34
50-54,Male,945,9,0.0411786983026687,39
50-54,Male,945,10,0.0462432396333146,44
50-54,Male,945,11,0.0321412441441423,30
50-54,Male,945,12,0.03971870154238632,38
50-54,Male,945,13,0.0730659664806025,69
50-54,Male,945,14,0.0803247575267182,76
50-54,Male,945,15,0.0913958347871212,86
50-54,Male,945,16,0.0971771352503516,92
50-54,Male,945,17,0.10295593054613833,97
55-59,Female,689,0,0,0
55-59,Female,689,1,0,0
55-59,Female,689,2,0,0
55-59,Female,689,3,0,0
55-59,Female,689,4,0,0
55-59,Female,689,5,0,0
55-59,Female,689,6,0.001401936808177548,1
55-59,Female,689,7,0.0028038009095127598,2
55-59,Female,689,8,0.0042055998878295,3
55-59,Female,689,9,0.005607350775886392,4
55-59,Female,689,10,0.00701326922704847,5
55-59,Female,689,11,0.0124979226244783,9
55-59,Female,689,12,0.01894755589212428,13
55-59,Female,689,13,0.02539673639143732,17
55-59,Female,689,14,0.03184539291629255,22
55-59,Female,689,15,0.038191511826544,26
55-59,Female,689,16,0.05530182205357148,38
55-59,Female,689,17,0.0665955309936189,46
55-59,Male,1145,0,0.00323279033105623,4
55-59,Male,1145,1,0.004022711856681718,5
55-59,Male,1145,2,0.004812633382307206,6
55-59,Male,1145,3,0.005602554907932694,6
55-59,Male,1145,4,0.006900415016582946,8
55-59,Male,1145,5,0.00792073443797582,9
55-59,Male,1145,6,0.010286279110332228,12
55-59,Male,1145,7,0.012500602519021527,14
55-59,Male,1145,8,0.016071439058924275,18
55-59,Male,1145,9,0.01854967020548496,21
55-59,Male,1145,10,0.0210404043959528,24
55-59,Male,1145,11,0.00760858966552382,9
55-59,Male,1145,12,0.011846974495824112,14
55-59,Male,1145,13,0.04065568703219392,47
55-59,Male,1145,14,0.0459672083194103,53
55-59,Male,1145,15,0.0544681694581314,62
55-59,Male,1145,16,0.061847034108633514,71
55-59,Male,1145,17,0.06922346157839886,79
60-64,Female,904,0,0,0
