"age","gender","date","deaths","child_age","nb_c","orphans"
"25-29","Male","2021-04-30",293,8,0.0450225457827403,13
"25-29","Male","2021-04-30",293,9,0.0299428379289718,9
"25-29","Male","2021-04-30",293,10,0.0148976935041691,4
"25-29","Male","2021-04-30",293,11,0.0119181548033353,3
"25-29","Male","2021-04-30",293,12,0.00893861610250146,3
"25-29","Male","2021-04-30",293,13,0.00595907740166764,2
"25-29","Male","2021-04-30",293,14,0.00297953870083382,1
"25-29","Male","2021-04-30",293,15,0,0
"25-29","Male","2021-04-30",293,16,0,0
"25-29","Male","2021-04-30",293,17,0,0
"30-34","Female","2021-04-30",269,0,0.0726651985153414,20
"30-34","Female","2021-04-30",269,1,0.0783258428637307,21
"30-34","Female","2021-04-30",269,2,0.08398648721212,23
"30-34","Female","2021-04-30",269,3,0.0896471315605094,24
"30-34","Female","2021-04-30",269,4,0.0953077759088987,26
"30-34","Female","2021-04-30",269,5,0.100968420257288,27
"30-34","Female","2021-04-30",269,6,0.104694695406135,28
"30-34","Female","2021-04-30",269,7,0.108420970554982,29
"30-34","Female","2021-04-30",269,8,0.11214724570383,30
"30-34","Female","2021-04-30",269,9,0.115873520852677,31
"30-34","Female","2021-04-30",269,10,0.136280718602802,37
"30-34","Female","2021-04-30",269,11,0.126137217269937,34
"30-34","Female","2021-04-30",269,12,0.115993715937072,31
"30-34","Female","2021-04-30",269,13,0.105850214604207,28
"30-34","Female","2021-04-30",269,14,0.0957067132713424,26
"30-34","Female","2021-04-30",269,15,0.0821417554323181,22
"30-34","Female","2021-04-30",269,16,0.0657134043458545,18
"30-34","Female","2021-04-30",269,17,0.0492850532593909,13
"30-34","Male","2021-04-30",517,0,0.115523643166931,60
"30-34","Male","2021-04-30",517,1,0.116413226215734,60
"30-34","Male","2021-04-30",517,2,0.117302809264537,61
"30-34","Male","2021-04-30",517,3,0.118192392313341,61
"30-34","Male","2021-04-30",517,4,0.119081975362144,62
"30-34","Male","2021-04-30",517,5,0.119971558410947,62
"30-34","Male","2021-04-30",517,6,0.114029580597567,59
"30-34","Male","2021-04-30",517,7,0.108087602784187,56
"30-34","Male","2021-04-30",517,8,0.102145624970806,53
"30-34","Male","2021-04-30",517,9,0.0962036471574262,50
"30-34","Male","2021-04-30",517,10,0.0989248086129643,51
"30-34","Male","2021-04-30",517,11,0.0821193855912053,42
"30-34","Male","2021-04-30",517,12,0.0653139625694462,34
"30-34","Male","2021-04-30",517,13,0.0485085395476872,25
"30-34","Male","2021-04-30",517,14,0.0317031165259281,16
"30-34","Male","2021-04-30",517,15,0.0131316532362707,7
"30-34","Male","2021-04-30",517,16,0.0105053225890166,5
"30-34","Male","2021-04-30",517,17,0.00787899194176242,4
"35-39","Female","2021-04-30",390,0,0.0414432994462115,16
"35-39","Female","2021-04-30",390,1,0.0476876792600375,19
"35-39","Female","2021-04-30",390,2,0.0539320590738635,21
"35-39","Female","2021-04-30",390,3,0.0601764388876894,23
"35-39","Female","2021-04-30",390,4,0.0664208187015154,26
"35-39","Female","2021-04-30",390,5,0.0726651985153414,28
"35-39","Female","2021-04-30",390,6,0.0783258428637307,31
"35-39","Female","2021-04-30",390,7,0.08398648721212,33
"35-39","Female","2021-04-30",390,8,0.0896471315605094,35
"35-39","Female","2021-04-30",390,9,0.0953077759088987,37
"35-39","Female","2021-04-30",390,10,0.113742768207641,44
"35-39","Female","2021-04-30",390,11,0.118250358286673,46
"35-39","Female","2021-04-30",390,12,0.122757948365705,48
"35-39","Female","2021-04-30",390,13,0.127265538444738,50
"35-39","Female","2021-04-30",390,14,0.13177312852377,51
"35-39","Female","2021-04-30",390,15,0.136340221844882,53
"35-39","Female","2021-04-30",390,16,0.125500528562369,49
"35-39","Female","2021-04-30",390,17,0.114660835279856,45
"35-39","Male","2021-04-30",838,0,0.0843405639939701,71
"35-39","Male","2021-04-30",838,1,0.0905771798285623,76
"35-39","Male","2021-04-30",838,2,0.0968137956631545,81
"35-39","Male","2021-04-30",838,3,0.103050411497747,86
"35-39","Male","2021-04-30",838,4,0.109287027332339,92
"35-39","Male","2021-04-30",838,5,0.115523643166931,97
"35-39","Male","2021-04-30",838,6,0.116413226215734,98
"35-39","Male","2021-04-30",838,7,0.117302809264537,98
"35-39","Male","2021-04-30",838,8,0.118192392313341,99
"35-39","Male","2021-04-30",838,9,0.119081975362144,100
"35-39","Male","2021-04-30",838,10,0.138438364956835,116
"35-39","Male","2021-04-30",838,11,0.130535653688061,109
"35-39","Male","2021-04-30",838,12,0.122632942419287,103
"35-39","Male","2021-04-30",838,13,0.114730231150513,96
"35-39","Male","2021-04-30",838,14,0.106827519881738,90
"35-39","Male","2021-04-30",838,15,0.101103862409915,85
"35-39","Male","2021-04-30",838,16,0.0835094205751861,70
"35-39","Male","2021-04-30",838,17,0.0659149787404573,55
"40-44","Female","2021-04-30",524,0,0.0140338972378163,7
"40-44","Female","2021-04-30",524,1,0.0195157776794953,10
"40-44","Female","2021-04-30",524,2,0.0249976581211744,13
"40-44","Female","2021-04-30",524,3,0.0304795385628534,16
"40-44","Female","2021-04-30",524,4,0.0359614190045325,19
"40-44","Female","2021-04-30",524,5,0.0414432994462115,22
"40-44","Female","2021-04-30",524,6,0.0476876792600375,25
"40-44","Female","2021-04-30",524,7,0.0539320590738635,28
"40-44","Female","2021-04-30",524,8,0.0601764388876894,32
"40-44","Female","2021-04-30",524,9,0.0664208187015154,35
"40-44","Female","2021-04-30",524,10,0.084786183258304,44
"40-44","Female","2021-04-30",524,11,0.0905775002481714,47
"40-44","Female","2021-04-30",524,12,0.0963688172380388,50
"40-44","Female","2021-04-30",524,13,0.102160134227906,54
"40-44","Female","2021-04-30",524,14,0.107951451217774,57
"40-44","Female","2021-04-30",524,15,0.125992989829859,66
"40-44","Female","2021-04-30",524,16,0.128062436232864,67
"40-44","Female","2021-04-30",524,17,0.130131882635868,68
"40-44","Male","2021-04-30",1372,0,0.0511394988272431,70
"40-44","Male","2021-04-30",1372,1,0.0577797118605885,79
"40-44","Male","2021-04-30",1372,2,0.0644199248939339,88
"40-44","Male","2021-04-30",1372,3,0.0710601379272793,97
"40-44","Male","2021-04-30",1372,4,0.0777003509606247,107
"40-44","Male","2021-04-30",1372,5,0.0843405639939701,116
"40-44","Male","2021-04-30",1372,6,0.0905771798285623,124
"40-44","Male","2021-04-30",1372,7,0.0968137956631545,133
"40-44","Male","2021-04-30",1372,8,0.103050411497747,141
"40-44","Male","2021-04-30",1372,9,0.109287027332339,150
"40-44","Male","2021-04-30",1372,10,0.134716317794209,185
"40-44","Male","2021-04-30",1372,11,0.135460727226734,186
"40-44","Male","2021-04-30",1372,12,0.136205136659259,187
"40-44","Male","2021-04-30",1372,13,0.136949546091785,188
"40-44","Male","2021-04-30",1372,14,0.13769395552431,189
"40-44","Male","2021-04-30",1372,15,0.149061645027214,205
"40-44","Male","2021-04-30",1372,16,0.139470088503754,191
"40-44","Male","2021-04-30",1372,17,0.129878531980294,178
"45-49","Female","2021-04-30",719,0,0.00229149254605575,2
"45-49","Female","2021-04-30",719,1,0.00463997348440786,3
"45-49","Female","2021-04-30",719,2,0.00698845442275997,5
"45-49","Female","2021-04-30",719,3,0.00933693536111208,7
"45-49","Female","2021-04-30",719,4,0.0116854162994642,8
"45-49","Female","2021-04-30",719,5,0.0140338972378163,10
"45-49","Female","2021-04-30",719,6,0.0195157776794953,14
"45-49","Female","2021-04-30",719,7,0.0249976581211744,18
"45-49","Female","2021-04-30",719,8,0.0304795385628534,22
"45-49","Female","2021-04-30",719,9,0.0359614190045325,26
"45-49","Female","2021-04-30",719,10,0.0485489924372946,35
"45-49","Female","2021-04-30",719,11,0.0557964306014965,40
"45-49","Female","2021-04-30",719,12,0.0630438687656984,45
"45-49","Female","2021-04-30",719,13,0.0702913069299002,51
"45-49","Female","2021-04-30",719,14,0.0775387450941021,56
"45-49","Female","2021-04-30",719,15,0.0905700088513252,65
"45-49","Female","2021-04-30",719,16,0.097654605047032,70
"45-49","Female","2021-04-30",719,17,0.104739201242739,75
"45-49","Male","2021-04-30",1843,0,0.0252457728594772,47
"45-49","Male","2021-04-30",1843,1,0.0304245180530304,56
"45-49","Male","2021-04-30",1843,2,0.0356032632465836,66
"45-49","Male","2021-04-30",1843,3,0.0407820084401367,75
"45-49","Male","2021-04-30",1843,4,0.0459607536336899,85
"45-49","Male","2021-04-30",1843,5,0.0511394988272431,94
"45-49","Male","2021-04-30",1843,6,0.0577797118605885,106
"45-49","Male","2021-04-30",1843,7,0.0644199248939339,119
"45-49","Male","2021-04-30",1843,8,0.0710601379272793,131
"45-49","Male","2021-04-30",1843,9,0.0777003509606247,143
"45-49","Male","2021-04-30",1843,10,0.0895303802617532,165
"45-49","Male","2021-04-30",1843,11,0.0985675677682444,182
"45-49","Male","2021-04-30",1843,12,0.107604755274736,198
"45-49","Male","2021-04-30",1843,13,0.116641942781227,215
"45-49","Male","2021-04-30",1843,14,0.125679130287718,232
"45-49","Male","2021-04-30",1843,15,0.139837178692377,258
"45-49","Male","2021-04-30",1843,16,0.141682071959344,261
"45-49","Male","2021-04-30",1843,17,0.143526965226312,265
"5-9","Female","2021-04-30",11,0,0,0
"5-9","Female","2021-04-30",11,1,0,0
"5-9","Female","2021-04-30",11,2,0,0
"5-9","Female","2021-04-30",11,3,0,0
"5-9","Female","2021-04-30",11,4,0,0
"5-9","Female","2021-04-30",11,5,0,0
"5-9","Female","2021-04-30",11,6,0,0
"5-9","Female","2021-04-30",11,7,0,0
"5-9","Female","2021-04-30",11,8,0,0
"5-9","Female","2021-04-30",11,9,0,0
"5-9","Female","2021-04-30",11,10,0,0
"5-9","Female","2021-04-30",11,11,0,0
"5-9","Female","2021-04-30",11,12,0,0
"5-9","Female","2021-04-30",11,13,0,0
"5-9","Female","2021-04-30",11,14,0,0
"5-9","Female","2021-04-30",11,15,0,0
"5-9","Female","2021-04-30",11,16,0,0
"5-9","Female","2021-04-30",11,17,0,0
"5-9","Male","2021-04-30",19,0,0,0
"5-9","Male","2021-04-30",19,1,0,0
"5-9","Male","2021-04-30",19,2,0,0
"5-9","Male","2021-04-30",19,3,0,0
"5-9","Male","2021-04-30",19,4,0,0
"5-9","Male","2021-04-30",19,5,0,0
"5-9","Male","2021-04-30",19,6,0,0
"5-9","Male","2021-04-30",19,7,0,0
"5-9","Male","2021-04-30",19,8,0,0
"5-9","Male","2021-04-30",19,9,0,0
"5-9","Male","2021-04-30",19,10,0,0
"5-9","Male","2021-04-30",19,11,0,0
"5-9","Male","2021-04-30",19,12,0,0
"5-9","Male","2021-04-30",19,13,0,0
"5-9","Male","2021-04-30",19,14,0,0
"5-9","Male","2021-04-30",19,15,0,0
"5-9","Male","2021-04-30",19,16,0,0
"5-9","Male","2021-04-30",19,17,0,0
"50-54","Female","2021-04-30",1239,0,0,0
"50-54","Female","2021-04-30",1239,1,0.00045829850921115,1
"50-54","Female","2021-04-30",1239,2,0.0009165970184223,1
"50-54","Female","2021-04-30",1239,3,0.00137489552763345,2
"50-54","Female","2021-04-30",1239,4,0.0018331940368446,2
"50-54","Female","2021-04-30",1239,5,0.00229149254605575,3
"50-54","Female","2021-04-30",1239,6,0.0053532999802452,7
"50-54","Female","2021-04-30",1239,7,0.00770178091859731,10
"50-54","Female","2021-04-30",1239,8,0.0107635883527868,13
"50-54","Female","2021-04-30",1239,9,0.0131120692911389,16
"50-54","Female","2021-04-30",1239,10,0.0161738767253283,20
"50-54","Female","2021-04-30",1239,11,0.0235043948061678,29
"50-54","Female","2021-04-30",1239,12,0.0304074138460634,38
"50-54","Female","2021-04-30",1239,13,0.0377379319269029,47
"50-54","Female","2021-04-30",1239,14,0.0446409509667985,55
"50-54","Female","2021-04-30",1239,15,0.051971469047638,64
"50-54","Female","2021-04-30",1239,16,0.059234846793663,73
"50-54","Female","2021-04-30",1239,17,0.066498224539688,82
"50-54","Male","2021-04-30",2662,0,0.0104077782646049,28
"50-54","Male","2021-04-30",2662,1,0.0133753771835794,36
"50-54","Male","2021-04-30",2662,2,0.0163429761025538,44
"50-54","Male","2021-04-30",2662,3,0.0193105750215283,51
"50-54","Male","2021-04-30",2662,4,0.0222781739405027,59
"50-54","Male","2021-04-30",2662,5,0.0252457728594772,67
"50-54","Male","2021-04-30",2662,6,0.0304245180530304,81
"50-54","Male","2021-04-30",2662,7,0.0356032632465836,95
"50-54","Male","2021-04-30",2662,8,0.0407820084401367,109
"50-54","Male","2021-04-30",2662,9,0.0459607536336899,122
"50-54","Male","2021-04-30",2662,10,0.0587182552641857,156
"50-54","Male","2021-04-30",2662,11,0.0648806802636992,173
"50-54","Male","2021-04-30",2662,12,0.0710431052632127,189
"50-54","Male","2021-04-30",2662,13,0.0772055302627262,206
"50-54","Male","2021-04-30",2662,14,0.0833679552622397,222
"50-54","Male","2021-04-30",2662,15,0.104609675235337,278
"50-54","Male","2021-04-30",2662,16,0.111655175926745,297
"50-54","Male","2021-04-30",2662,17,0.118700676618153,316
"55-59","Female","2021-04-30",1824,0,0,0
"55-59","Female","2021-04-30",1824,1,0,0
"55-59","Female","2021-04-30",1824,2,0,0
"55-59","Female","2021-04-30",1824,3,0,0
"55-59","Female","2021-04-30",1824,4,0,0
"55-59","Female","2021-04-30",1824,5,0,0
"55-59","Female","2021-04-30",1824,6,0.000423344369962896,1
"55-59","Female","2021-04-30",1824,7,0.000881642879174046,2
"55-59","Female","2021-04-30",1824,8,0.00130498724913694,2
"55-59","Female","2021-04-30",1824,9,0.00176328575834809,3
"55-59","Female","2021-04-30",1824,10,0.00218663012831099,4
"55-59","Female","2021-04-30",1824,11,0.00500156414900935,9
"55-59","Female","2021-04-30",1824,12,0.0080633715831988,15
"55-59","Female","2021-04-30",1824,13,0.0108783056038972,20
"55-59","Female","2021-04-30",1824,14,0.0139401130380866,25
"55-59","Female","2021-04-30",1824,15,0.016755047058785,31
"55-59","Female","2021-04-30",1824,16,0.0243673926923638,44
"55-59","Female","2021-04-30",1824,17,0.0319797383259425,58
"55-59","Male","2021-04-30",3974,0,0.00522595423998093,21
"55-59","Male","2021-04-30",3974,1,0.00626231904490572,25
"55-59","Male","2021-04-30",3974,2,0.00729868384983052,29
"55-59","Male","2021-04-30",3974,3,0.00833504865475531,33
"55-59","Male","2021-04-30",3974,4,0.00937141345968011,37
"55-59","Male","2021-04-30",3974,5,0.0104077782646049,41
"55-59","Male","2021-04-30",3974,6,0.0148315794145096,59
"55-59","Male","2021-04-30",3974,7,0.017799178333484,71
"55-59","Male","2021-04-30",3974,8,0.0222229794833887,88
"55-59","Male","2021-04-30",3974,9,0.0251905784023632,100
"55-59","Male","2021-04-30",3974,10,0.0296143795522679,118
"55-59","Male","2021-04-30",3974,11,0.0363527980780708,144
"55-59","Male","2021-04-30",3974,12,0.0430472945590125,171
"55-59","Male","2021-04-30",3974,13,0.0497857130848154,198
"55-59","Male","2021-04-30",3974,14,0.0564802095657571,224
"55-59","Male","2021-04-30",3974,15,0.06321862809156,251
"55-59","Male","2021-04-30",3974,16,0.0708967878099988,282
"55-59","Male","2021-04-30",3974,17,0.0785749475284377,312
"60-64","Female","2021-04-30",2592,0,0,0
"60-64","Female","2021-04-30",2592,1,0,0
"60-64","Female","2021-04-30",2592,2,0,0
"60-64","Female","2021-04-30",2592,3,0,0
"60-64","Female","2021-04-30",2592,4,0,0
"60-64","Female","2021-04-30",2592,5,0,0
"60-64","Female","2021-04-30",2592,6,0,0
"60-64","Female","2021-04-30",2592,7,0,0
"60-64","Female","2021-04-30",2592,8,0,0
"60-64","Female","2021-04-30",2592,9,0,0
"60-64","Female","2021-04-30",2592,10,0,0
"60-64","Female","2021-04-30",2592,11,0.000421018325112624,1
"60-64","Female","2021-04-30",2592,12,0.00084436269507552,2
"60-64","Female","2021-04-30",2592,13,0.00126538102018814,3
"60-64","Female","2021-04-30",2592,14,0.00168872539015104,4
"60-64","Female","2021-04-30",2592,15,0.00210974371526366,5
"60-64","Female","2021-04-30",2592,16,0.0049270037808123,13
"60-64","Female","2021-04-30",2592,17,0.00774426384636094,20
"60-64","Male","2021-04-30",5037,0,0.00286697928837932,14
"60-64","Male","2021-04-30",5037,1,0.00333877427869964,17
"60-64","Male","2021-04-30",5037,2,0.00381056926901996,19
"60-64","Male","2021-04-30",5037,3,0.00428236425934029,22
"60-64","Male","2021-04-30",5037,4,0.00475415924966061,24
"60-64","Male","2021-04-30",5037,5,0.00522595423998093,26
"60-64","Male","2021-04-30",5037,6,0.00752297992495482,38
"60-64","Male","2021-04-30",5037,7,0.00855934472987962,43
"60-64","Male","2021-04-30",5037,8,0.0108563704148535,55
"60-64","Male","2021-04-30",5037,9,0.0118927352197783,60
"60-64","Male","2021-04-30",5037,10,0.0141897609047522,71
"60-64","Male","2021-04-30",5037,11,0.0176783197871049,89
"60-64","Male","2021-04-30",5037,12,0.0221021209370096,111
"60-64","Male","2021-04-30",5037,13,0.0255906798193623,129
"60-64","Male","2021-04-30",5037,14,0.030014480969267,151
"60-64","Male","2021-04-30",5037,15,0.0335030398516197,169
"60-64","Male","2021-04-30",5037,16,0.0399160397649255,201
"60-64","Male","2021-04-30",5037,17,0.0463290396782313,233
"65-69","Female","2021-04-30",3149,0,0,0
"65-69","Female","2021-04-30",3149,1,0,0
"65-69","Female","2021-04-30",3149,2,0,0
"65-69","Female","2021-04-30",3149,3,0,0
"65-69","Female","2021-04-30",3149,4,0,0
"65-69","Female","2021-04-30",3149,5,0,0
"65-69","Female","2021-04-30",3149,6,0,0
"65-69","Female","2021-04-30",3149,7,0,0
"65-69","Female","2021-04-30",3149,8,0,0
"65-69","Female","2021-04-30",3149,9,0,0
"65-69","Female","2021-04-30",3149,10,0,0
"65-69","Female","2021-04-30",3149,11,0,0
"65-69","Female","2021-04-30",3149,12,0,0
"65-69","Female","2021-04-30",3149,13,0,0
"65-69","Female","2021-04-30",3149,14,0,0
"65-69","Female","2021-04-30",3149,15,0,0
"65-69","Female","2021-04-30",3149,16,0.000421018325112624,1
"65-69","Female","2021-04-30",3149,17,0.000842036650225248,3
"65-69","Male","2021-04-30",6142,0,0.0012338578058965,8
"65-69","Male","2021-04-30",6142,1,0.00156048210239306,10
"65-69","Male","2021-04-30",6142,2,0.00188710639888963,12
"65-69","Male","2021-04-30",6142,3,0.00221373069538619,14
"65-69","Male","2021-04-30",6142,4,0.00254035499188276,16
"65-69","Male","2021-04-30",6142,5,0.00286697928837932,18
"65-69","Male","2021-04-30",6142,6,0.00415009777327041,25
"65-69","Male","2021-04-30",6142,7,0.00462189276359073,28
"65-69","Male","2021-04-30",6142,8,0.00590501124848182,36
"65-69","Male","2021-04-30",6142,9,0.00637680623880214,39
"65-69","Male","2021-04-30",6142,10,0.00765992472369323,47
"65-69","Male","2021-04-30",6142,11,0.0098014089002453,60
"65-69","Male","2021-04-30",6142,12,0.0120984345852192,74
"65-69","Male","2021-04-30",6142,13,0.0142399187617713,87
"65-69","Male","2021-04-30",6142,14,0.0165369444467452,102
"65-69","Male","2021-04-30",6142,15,0.0186784286232972,115
"65-69","Male","2021-04-30",6142,16,0.021511205519501,132
"65-69","Male","2021-04-30",6142,17,0.0243439824157047,150
"70-74","Female","2021-04-30",3368,0,0,0
"70-74","Female","2021-04-30",3368,1,0,0
"70-74","Female","2021-04-30",3368,2,0,0
