X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0.013855158116909334,0.01385425583573842,0.013852647028065719,0.001022552409800714,0.0010224058518236406,0.0010260935970770975,0.0011229778178463601,0.0010788502389803506,0,0,0,0,0,0,0,0,0,0
0.013855158116909334,0.01385425583573842,0.013852647028065719,0.013850667820925056,0.0010224058518236406,0.0010260935970770975,0.0011229778178463601,0.0010788502389803506,0.0011516482540729778,0,0,0,0,0,0,0,0,0
0.013855158116909334,0.01385425583573842,0.013852647028065719,0.013850667820925056,0.013848682665115441,0.0010260935970770975,0.0011229778178463601,0.0010788502389803506,0.0011516482540729778,0.0011352380862404492,0,0,0,0,0,0,0,0
0.050162974897522514,0.01385425583573842,0.013852647028065719,0.013850667820925056,0.013848682665115441,0.013898633879375236,0.0011229778178463601,0.0010788502389803506,0.0011516482540729778,0.0011352380862404492,0.0011352987371567264,0,0,0,0,0,0,0
0.050162974897522514,0.05015970816412653,0.013852647028065719,0.013850667820925056,0.013848682665115441,0.013898633879375236,0.014299794700884817,0.0010788502389803506,0.0011516482540729778,0.0011352380862404492,0.0011352987371567264,0.0011353046099299526,0,0,0,0,0,0
0.050162974897522514,0.05015970816412653,0.05015388343241148,0.013850667820925056,0.013848682665115441,0.013898633879375236,0.014299794700884817,0.014313356199305863,0.0011516482540729778,0.0011352380862404492,0.0011352987371567264,0.0011353046099299526,0.0011353091106322266,0,0,0,0,0
0.050162974897522514,0.05015970816412653,0.05015388343241148,0.050146717659399265,0.013848682665115441,0.013898633879375236,0.014299794700884817,0.014313356199305863,0.015040247947252278,0.0011352380862404492,0.0011352987371567264,0.0011353046099299526,0.0011353091106322266,0.0013994842407845933,0,0,0,0
0.050162974897522514,0.05015970816412653,0.05015388343241148,0.050146717659399265,0.05013953034907014,0.013898633879375236,0.014299794700884817,0.014313356199305863,0.015040247947252278,0.01511374014940261,0.0011352987371567264,0.0011353046099299526,0.0011353091106322266,0.0013994842407845933,0.0013994934102450937,0,0,0
0.0854905855014734,0.05015970816412653,0.05015388343241148,0.050146717659399265,0.05013953034907014,0.050320380072030484,0.014299794700884817,0.014313356199305863,0.015040247947252278,0.01511374014940261,0.015114547611907213,0.0011353046099299526,0.0011353091106322266,0.0013994842407845933,0.0013994934102450937,0.0013974920768325778,0,0
0.0854905855014734,0.08548501814923262,0.05015388343241148,0.050146717659399265,0.05013953034907014,0.050320380072030484,0.04787961487729529,0.014313356199305863,0.015040247947252278,0.01511374014940261,0.015114547611907213,0.015114625797769345,0.0011353091106322266,0.0013994842407845933,0.0013994934102450937,0.0013974920768325778,0.0013975186007091265,0
0.0854905855014734,0.08548501814923262,0.08547509131124652,0.050146717659399265,0.05013953034907014,0.050320380072030484,0.04787961487729529,0.045953593619132156,0.015040247947252278,0.01511374014940261,0.015114547611907213,0.015114625797769345,0.01511468571686956,0.0013994842407845933,0.0013994934102450937,0.0013974920768325778,0.0013975186007091265,0.0013975191593441434
0.0854905855014734,0.08548501814923262,0.08547509131124652,0.08546287899465971,0.05013953034907014,0.050320380072030484,0.04787961487729529,0.045953593619132156,0.04638667600282713,0.01511374014940261,0.015114547611907213,0.015114625797769345,0.01511468571686956,0.016417315779544073,0.0013994934102450937,0.0013974920768325778,0.0013975186007091265,0.0013975191593441434
0.0854905855014734,0.08548501814923262,0.08547509131124652,0.08546287899465971,0.0854506299729565,0.050320380072030484,0.04787961487729529,0.045953593619132156,0.04638667600282713,0.04643335535946537,0.015114547611907213,0.015114625797769345,0.01511468571686956,0.016417315779544073,0.016417423346263425,0.0013974920768325778,0.0013975186007091265,0.0013975191593441434
0.07144838988111536,0.08548501814923262,0.08547509131124652,0.08546287899465971,0.0854506299729565,0.08575884432298744,0.04787961487729529,0.045953593619132156,0.04638667600282713,0.04643335535946537,0.04643583609507714,0.015114625797769345,0.01511468571686956,0.016417315779544073,0.016417423346263425,0.016393945752407133,0.0013975186007091265,0.0013975191593441434
0.07144838988111536,0.07144373699037691,0.08547509131124652,0.08546287899465971,0.0854506299729565,0.08575884432298744,0.08426478976387708,0.045953593619132156,0.04638667600282713,0.04643335535946537,0.04643583609507714,0.04643607630245695,0.01511468571686956,0.016417315779544073,0.016417423346263425,0.016393945752407133,0.016394256903361396,0.0013975191593441434
0.07144838988111536,0.07144373699037691,0.07143544067813905,0.08546287899465971,0.0854506299729565,0.08575884432298744,0.08426478976387708,0.0810765603975065,0.04638667600282713,0.04643335535946537,0.04643583609507714,0.04643607630245695,0.0464362603895754,0.016417315779544073,0.016417423346263425,0.016393945752407133,0.016394256903361396,0.016394263456695268
0.07144838988111536,0.07144373699037691,0.07143544067813905,0.07142523428697062,0.0854506299729565,0.08575884432298744,0.08426478976387708,0.0810765603975065,0.08130935837928085,0.04643335535946537,0.04643583609507714,0.04643607630245695,0.0464362603895754,0.05251941277014117,0.016417423346263425,0.016393945752407133,0.016394256903361396,0.016394263456695268
0.07144838988111536,0.07144373699037691,0.07143544067813905,0.07142523428697062,0.0714149972196587,0.08575884432298744,0.08426478976387708,0.0810765603975065,0.08130935837928085,0.07968397857055406,0.04643583609507714,0.04643607630245695,0.0464362603895754,0.05251941277014117,0.05251975687882554,0.016393945752407133,0.016394256903361396,0.016394263456695268
0.03160133460990501,0.07144373699037691,0.07143544067813905,0.07142523428697062,0.0714149972196587,0.07167258603974681,0.08426478976387708,0.0810765603975065,0.08130935837928085,0.07968397857055406,0.07968823574477284,0.04643607630245695,0.0464362603895754,0.05251941277014117,0.05251975687882554,0.05244465145604232,0.016394256903361396,0.016394263456695268
0.03160133460990501,0.03159927665510192,0.07143544067813905,0.07142523428697062,0.0714149972196587,0.07167258603974681,0.06924841063921626,0.0810765603975065,0.08130935837928085,0.07968397857055406,0.07968823574477284,0.07968864796309214,0.0464362603895754,0.05251941277014117,0.05251975687882554,0.05244465145604232,0.05244564683589735,0.016394263456695268
0.03160133460990501,0.03159927665510192,0.031595607229667796,0.07142523428697062,0.0714149972196587,0.07167258603974681,0.06924841063921626,0.06595057759214855,0.08130935837928085,0.07968397857055406,0.07968823574477284,0.07968864796309214,0.07968896387379659,0.05251941277014117,0.05251975687882554,0.05244465145604232,0.05244564683589735,0.052445667800179896
0.03160133460990501,0.03159927665510192,0.031595607229667796,0.031591092984028256,0.0714149972196587,0.07167258603974681,0.06924841063921626,0.06595057759214855,0.06356440603127013,0.07968397857055406,0.07968823574477284,0.07968864796309214,0.07968896387379659,0.07635417154633879,0.05251975687882554,0.05244465145604232,0.05244564683589735,0.052445667800179896
0.03160133460990501,0.03159927665510192,0.031595607229667796,0.031591092984028256,0.031586565170454196,0.07167258603974681,0.06924841063921626,0.06595057759214855,0.06356440603127013,0.06148999301975302,0.07968823574477284,0.07968864796309214,0.07968896387379659,0.07635417154633879,0.07635467182103974,0.05244465145604232,0.05244564683589735,0.052445667800179896
0.008932774196205992,0.03159927665510192,0.031595607229667796,0.031591092984028256,0.031586565170454196,0.03170049566642366,0.06924841063921626,0.06595057759214855,0.06356440603127013,0.06148999301975302,0.06149327816712759,0.07968864796309214,0.07968896387379659,0.07635417154633879,0.07635467182103974,0.07624548148488063,0.05244564683589735,0.052445667800179896
0.008932774196205992,0.008932192472497517,0.031595607229667796,0.031591092984028256,0.031586565170454196,0.03170049566642366,0.02993571679297628,0.06595057759214855,0.06356440603127013,0.06148999301975302,0.06149327816712759,0.06149359626496896,0.07968896387379659,0.07635417154633879,0.07635467182103974,0.07624548148488063,0.07624692859558116,0.052445667800179896
0.008932774196205992,0.008932192472497517,0.00893115523311388,0.031591092984028256,0.031586565170454196,0.03170049566642366,0.02993571679297628,0.027708886073108237,0.06356440603127013,0.06148999301975302,0.06149327816712759,0.06149359626496896,0.06149384004480225,0.07635417154633879,0.07635467182103974,0.07624548148488063,0.07624692859558116,0.07624695907403363
0.008932774196205992,0.008932192472497517,0.00893115523311388,0.008929879187735988,0.031586565170454196,0.03170049566642366,0.02993571679297628,0.027708886073108237,0.026333763838773724,0.06148999301975302,0.06149327816712759,0.06149359626496896,0.06149384004480225,0.05401120645807012,0.07635467182103974,0.07624548148488063,0.07624692859558116,0.07624695907403363
0.008932774196205992,0.008932192472497517,0.00893115523311388,0.008929879187735988,0.008928599307099336,0.03170049566642366,0.02993571679297628,0.027708886073108237,0.026333763838773724,0.024872227586804657,0.06149327816712759,0.06149359626496896,0.06149384004480225,0.05401120645807012,0.05401156034102912,0.07624548148488063,0.07624692859558116,0.07624695907403363
0.002458142201834862,0.008932192472497517,0.00893115523311388,0.008929879187735988,0.008928599307099336,0.008960804130317088,0.02993571679297628,0.027708886073108237,0.026333763838773724,0.024872227586804657,0.024873556403562373,0.06149359626496896,0.06149384004480225,0.05401120645807012,0.05401156034102912,0.053934321577644245,0.07624692859558116,0.07624695907403363
0.002458142201834862,0.002458142201834862,0.00893115523311388,0.008929879187735988,0.008928599307099336,0.008960804130317088,0.008591889662756598,0.027708886073108237,0.026333763838773724,0.024872227586804657,0.024873556403562373,0.02487368507168408,0.06149384004480225,0.05401120645807012,0.05401156034102912,0.053934321577644245,0.05393534523088062,0.07624695907403363
