"age","gender","death.x","death.y","death","child_age","nb_c","orphans"
"30-39","Male",300.522602739726,846.4,545.877397260274,8,0.0584699353564513,32
"30-39","Male",300.522602739726,846.4,545.877397260274,9,0.0536829715700776,29
"30-39","Male",300.522602739726,846.4,545.877397260274,10,0.0523254112125475,29
"30-39","Male",300.522602739726,846.4,545.877397260274,11,0.0467080598316916,25
"30-39","Male",300.522602739726,846.4,545.877397260274,12,0.0390834002803529,21
"30-39","Male",300.522602739726,846.4,545.877397260274,13,0.0306449756737218,17
"30-39","Male",300.522602739726,846.4,545.877397260274,14,0.0232057815312154,13
"30-39","Male",300.522602739726,846.4,545.877397260274,15,0.0157350476190724,9
"30-39","Male",300.522602739726,846.4,545.877397260274,16,0.012780442661501,7
"30-39","Male",300.522602739726,846.4,545.877397260274,17,0.00982538428251356,5
"40-49","Female",531.693835616438,1038.6,506.906164383562,0,0.0038063124668435,2
"40-49","Female",531.693835616438,1038.6,506.906164383562,1,0.00745670212992545,4
"40-49","Female",531.693835616438,1038.6,506.906164383562,2,0.011106355507325,6
"40-49","Female",531.693835616438,1038.6,506.906164383562,3,0.0147554812603649,7
"40-49","Female",531.693835616438,1038.6,506.906164383562,4,0.0184057176664832,9
"40-49","Female",531.693835616438,1038.6,506.906164383562,5,0.022129879457559,11
"40-49","Female",531.693835616438,1038.6,506.906164383562,6,0.0255655151030928,13
"40-49","Female",531.693835616438,1038.6,506.906164383562,7,0.0320283,16
"40-49","Female",531.693835616438,1038.6,506.906164383562,8,0.0384909162266227,20
"40-49","Female",531.693835616438,1038.6,506.906164383562,9,0.0449536721787709,23
"40-49","Female",531.693835616438,1038.6,506.906164383562,10,0.0513948397341211,26
"40-49","Female",531.693835616438,1038.6,506.906164383562,11,0.0563138987282148,29
"40-49","Female",531.693835616438,1038.6,506.906164383562,12,0.0627870621912888,32
"40-49","Female",531.693835616438,1038.6,506.906164383562,13,0.069260676080445,35
"40-49","Female",531.693835616438,1038.6,506.906164383562,14,0.0757344734042553,38
"40-49","Female",531.693835616438,1038.6,506.906164383562,15,0.082047207890223,42
"40-49","Female",531.693835616438,1038.6,506.906164383562,16,0.0725039206380858,37
"40-49","Female",531.693835616438,1038.6,506.906164383562,17,0.0739675074454429,37
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,0,0.013013359150652,27
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,1,0.0176021886240606,36
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,2,0.0221896222006247,45
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,3,0.0267763875365471,55
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,4,0.0291640671236323,60
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,5,0.0317165369789066,65
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,6,0.037747187960167,77
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,7,0.0437957054101139,89
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,8,0.0499381097575596,102
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,9,0.0565895236934795,115
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,10,0.0662821194075065,135
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,11,0.0695396504868172,142
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,12,0.0728340530786419,149
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,13,0.0712363576158194,145
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,14,0.0748578960815476,153
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,15,0.0783254857391871,160
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,16,0.0732396948149855,149
"40-49","Male",1040.27054794521,3080.6,2040.32945205479,17,0.0681534083750103,139
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,0,0,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,1,3.10837060702875e-05,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,2,6.21629951166576e-05,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,3,9.32378109452736e-05,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,4,0.000124319207484865,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,5,0.00015592164741336,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,6,0.000771801958762886,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,7,0.00141164631803629,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,8,0.00205147095709571,0
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,9,0.0026912956424581,1
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,10,0.00332971787296898,1
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,11,0.00562389693829486,1
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,12,0.00839035810507409,2
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,13,0.0111570436456996,2
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,14,0.0139238963175123,3
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,15,0.0166581571183534,3
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,16,0.0179988191425723,4
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698,17,0.0227669976893453,5
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,0,0.000435055528730082,0
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,1,0.000956972494880038,0
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,2,0.00147880911395734,1
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,3,0.00200056436377819,1
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,4,0.00237876402671326,1
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,5,0.00273396025372737,1
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,6,0.00445019886053602,2
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,7,0.00610425213946888,2
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,8,0.00776131232659771,3
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,9,0.00936455736664585,4
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,10,0.01128838492913,4
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,11,0.0150384999964102,6
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,12,0.0190911699097349,7
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,13,0.0206892571569532,8
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,14,0.0242791060092871,9
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,15,0.0278144583089844,10
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,16,0.0343077218545402,13
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151,17,0.0408023288690295,15
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,0,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,1,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,2,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,3,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,4,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,5,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,6,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,7,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,8,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,9,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,10,0,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,11,2.24788035798398e-05,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,12,4.49595868881904e-05,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,13,6.74422336328625e-05,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,14,8.99263502454992e-05,0
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,15,0.000112191252144083,1
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,16,0.000563497839813892,3
"60-69","Female",3814.32534246575,8635.4,4821.07465753425,17,0.0010268568677792,5
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,0,0.000435055528730082,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,1,0.000435055528730082,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,2,0.000435055528730082,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,3,0.000435055528730082,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,4,0.000418367346938776,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,5,0.000403333878084654,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,6,0.000403333878084654,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,7,0.000438790931989924,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,8,0.000438790931989924,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,9,0.000455534772997789,4
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,10,0.000472648835202761,5
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,11,0.00091118165638956,9
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,12,0.00136407389878915,13
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,13,0.00157145120934057,15
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,14,0.00195282559434022,19
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,15,0.0023300648504726,23
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,16,0.0038451049211669,37
"60-69","Male",8761.3897260274,18471.8,9710.4102739726,17,0.00536044196138341,52
"70-79","Female",7513.06506849315,20729,13215.9349315069,0,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,1,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,2,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,3,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,4,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,5,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,6,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,7,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,8,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,9,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,10,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,11,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,12,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,13,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,14,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,15,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,16,0,0
"70-79","Female",7513.06506849315,20729,13215.9349315069,17,0,0
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,0,0.000435055528730082,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,1,0.000435055528730082,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,2,0.000435055528730082,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,3,0.000435055528730082,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,4,0.000418367346938776,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,5,0.000403333878084654,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,6,0.000403333878084654,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,7,0.000438790931989924,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,8,0.000438790931989924,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,9,0.000455534772997789,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,10,0.000472648835202761,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,11,0.000458333333333333,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,12,0.000458333333333333,9
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,13,0.000427518880088414,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,14,0.000427518880088414,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,15,0.000427518880088414,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,16,0.000427518880088414,8
"70-79","Male",11835.9671232877,31650.4,19814.4328767123,17,0.000427518880088414,8
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,0,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,1,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,2,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,3,0,0
