age,gender,year,value,country,pop_nb,value_sample,rate
30-34,F,2016,220129,England_Wales,1966190,220656,112.2251664386453
30-34,F,2017,216787,England_Wales,1975104,216706,109.71877936554228
30-34,F,2018,212707,England_Wales,1992159,212942,106.89006248999202
35-39,F,2002,90449,England_Wales,2103784,90737,43.13037840386656
35-39,F,2003,97386,England_Wales,2100222,97403,46.37747819040082
35-39,F,2004,102228,England_Wales,2093969,102211,48.81208843110858
35-39,F,2005,104113,England_Wales,2070992,104502,50.45987623322543
35-39,F,2006,110509,England_Wales,2059965,110318,53.55333707126092
35-39,F,2007,115380,England_Wales,2040482,115348,56.529780708675695
35-39,F,2008,116220,England_Wales,2009443,116460,57.95635905074192
35-39,F,2009,114288,England_Wales,1966383,114911,58.437750936618144
35-39,F,2010,115841,England_Wales,1922517,115926,60.29907667916591
35-39,F,2011,115444,England_Wales,1858048,115669,62.25296655414715
35-39,F,2012,114797,England_Wales,1803418,114787,63.6496918628959
35-39,F,2013,111500,England_Wales,1772480,111301,62.79393843654089
35-39,F,2014,115171,England_Wales,1785685,115211,64.51921811517708
35-39,F,2015,120614,England_Wales,1826264,121253,66.39401532308582
35-39,F,2016,125205,England_Wales,1871281,125436,67.03215604711426
35-39,F,2017,125114,England_Wales,1920620,125369,65.27527569222438
35-39,F,2018,124567,England_Wales,1964167,124526,63.39888614359166
40-44,F,2002,16441,England_Wales,1905417,16522,8.671067803005851
40-44,F,2003,18205,England_Wales,1955037,17984,9.198802887106485
40-44,F,2004,19884,England_Wales,2007179,20121,10.024516996241989
40-44,F,2005,21155,England_Wales,2056890,21530,10.467258822785857
40-44,F,2006,22512,England_Wales,2086487,22329,10.701720164084415
40-44,F,2007,24041,England_Wales,2108503,24068,11.41473358112367
40-44,F,2008,24991,England_Wales,2103259,25038,11.904382674696745
40-44,F,2009,25357,England_Wales,2097761,25396,12.106240892074931
40-44,F,2010,25973,England_Wales,2076795,25976,12.507734273243146
40-44,F,2011,27518,England_Wales,2068199,27593,13.341559492099165
40-44,F,2012,28019,England_Wales,2048039,27924,13.634505983528634
40-44,F,2013,27148,England_Wales,2016544,27363,13.569255121633844
40-44,F,2014,27021,England_Wales,1969315,27159,13.79108979518259
40-44,F,2015,27065,England_Wales,1928123,27267,14.14173265917164
40-44,F,2016,27447,England_Wales,1870975,27590,14.746322104784939
40-44,F,2017,26956,England_Wales,1819794,26883,14.772551178869696
40-44,F,2018,26499,England_Wales,1790194,26235,14.654836291485728
45-49,F,2002,895,England_Wales,1688650,941,0.5572498741598318
45-49,F,2003,875,England_Wales,1718698,875,0.5091063118709628
45-49,F,2004,909,England_Wales,1749197,922,0.5270990060010393
45-49,F,2005,1091,England_Wales,1792971,1111,0.6196419239351891
45-49,F,2006,1194,England_Wales,1842383,1184,0.6426459644927249
45-49,F,2007,1309,England_Wales,1895002,1238,0.6532974635382971
45-49,F,2008,1428,England_Wales,1947236,1380,0.708696840033771
45-49,F,2009,1619,England_Wales,1999599,1650,0.8251654456718572
45-49,F,2010,1758,England_Wales,2047110,1705,0.8328814768136543
45-49,F,2011,1832,England_Wales,2078162,1866,0.8979088252022701
45-49,F,2012,1975,England_Wales,2094703,2020,0.9643371876585846
45-49,F,2013,2010,England_Wales,2098249,2022,0.96366065228674
45-49,F,2014,1989,England_Wales,2094357,2030,0.9692712369476646
45-49,F,2015,2176,England_Wales,2077005,2184,1.0515140791668773
45-49,F,2016,2286,England_Wales,2072516,2300,1.1097622406775147
45-49,F,2017,2357,England_Wales,2054066,2337,1.1377433831240087
45-49,F,2018,2366,England_Wales,2025216,2381,1.1756770635823537
