week_nb,gender,age,year,covid19_deaths,week,value_20,value_pre,excess_deaths
week-14,male,40-44,2021,5,Week 14,52,59,-7
week-14,male,45-49,2020,18,Week 14,124,93,31
week-14,male,45-49,2021,2,Week 14,82,93,-11
week-14,male,50-54,2020,43,Week 14,244,142,102
week-14,male,50-54,2021,10,Week 14,141,142,-1
week-14,male,55-59,2020,86,Week 14,336,194,142
week-14,male,55-59,2021,15,Week 14,201,194,7
week-14,male,60-64,2020,118,Week 14,453,286,167
week-14,male,60-64,2021,18,Week 14,287,286,1
week-14,male,65-69,2020,153,Week 14,662,422,240
week-14,male,65-69,2021,19,Week 14,360,422,-62
week-14,male,70-74,2020,266,Week 14,1039,577,462
week-14,male,70-74,2021,23,Week 14,537,577,-40
week-14,male,75-79,2020,352,Week 14,1303,705,598
week-14,male,75-79,2021,34,Week 14,650,705,-55
week-14,male,80-84,2020,441,Week 14,1570,874,696
week-14,male,80-84,2021,29,Week 14,763,874,-111
week-14,male,85-89,2020,354,Week 14,1520,876,644
week-14,male,85-89,2021,32,Week 14,702,876,-174
week-14,male,90+,2020,272,Week 14,1327,736,591
week-14,male,90+,2021,31,Week 14,643,736,-93
week-14,male,all-ages,2020,0,Week 14,0,0,0
week-14,male,all-ages,2021,0,Week 14,0,0,0
week-15,female,00-04,2020,0,Week 15,13,24,-11
week-15,female,00-04,2021,0,Week 15,19,24,-5
week-15,female,05-09,2020,0,Week 15,1,3,-2
week-15,female,05-09,2021,0,Week 15,0,3,-3
week-15,female,10-14,2020,0,Week 15,3,3,0
week-15,female,10-14,2021,0,Week 15,1,3,-2
week-15,female,15-19,2020,1,Week 15,3,5,-2
week-15,female,15-19,2021,0,Week 15,5,5,0
week-15,female,20-24,2020,1,Week 15,4,8,-4
week-15,female,20-24,2021,0,Week 15,9,8,1
week-15,female,25-29,2020,3,Week 15,12,11,1
week-15,female,25-29,2021,1,Week 15,7,11,-4
week-15,female,30-34,2020,3,Week 15,15,17,-2
week-15,female,30-34,2021,3,Week 15,24,17,7
week-15,female,35-39,2020,6,Week 15,48,23,25
week-15,female,35-39,2021,1,Week 15,34,23,11
week-15,female,40-44,2020,13,Week 15,49,37,12
week-15,female,40-44,2021,2,Week 15,46,37,9
week-15,female,45-49,2020,29,Week 15,101,67,34
week-15,female,45-49,2021,4,Week 15,68,67,1
week-15,female,50-54,2020,50,Week 15,165,99,66
week-15,female,50-54,2021,5,Week 15,97,99,-2
week-15,female,55-59,2020,73,Week 15,226,135,91
week-15,female,55-59,2021,8,Week 15,169,135,34
week-15,female,60-64,2020,108,Week 15,304,196,108
week-15,female,60-64,2021,5,Week 15,195,196,-1
week-15,female,65-69,2020,148,Week 15,443,282,161
week-15,female,65-69,2021,14,Week 15,289,282,7
week-15,female,70-74,2020,231,Week 15,699,413,286
week-15,female,70-74,2021,12,Week 15,477,413,64
week-15,female,75-79,2020,332,Week 15,967,564,403
week-15,female,75-79,2021,18,Week 15,621,564,57
week-15,female,80-84,2020,465,Week 15,1400,790,610
week-15,female,80-84,2021,21,Week 15,775,790,-15
week-15,female,85-89,2020,423,Week 15,1738,1054,684
week-15,female,85-89,2021,34,Week 15,987,1054,-67
week-15,female,90+,2020,508,Week 15,2377,1480,897
week-15,female,90+,2021,32,Week 15,1366,1480,-114
week-15,female,all-ages,2020,0,Week 15,0,0,0
week-15,female,all-ages,2021,0,Week 15,0,0,0
week-15,male,00-04,2020,0,Week 15,31,32,-1
week-15,male,00-04,2021,0,Week 15,29,32,-3
