0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
0.0030120481927710845,0.002938706968933669,0.0028665028665028664,0.002793296089385475,0.0027216174183514776,3.5198873636043646e-4,3.5124692658939234e-4,3.5236081747709656e-4,3.546099290780142e-4,3.5778175313059033e-4,3.645643456069996e-4,3.641660597232338e-4,3.62844702467344e-4,3.6114120621162876e-4,3.598416696653472e-4,0.0020782819535850364,0.0020668274199104374,0.0020526855969893944
