0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0.08227529923830251,0.08227529923830251,0.08227529923830251,0.08227529923830251,0.02216970998925886,0.02331718693936132,0.025253584229390683,0.026377833303587363,0.026505771621381638,0,0,0,0,0,0,0,0,0
0.08227529923830251,0.08227529923830251,0.08227529923830251,0.08227529923830251,0.08227529923830251,0.02331718693936132,0.025253584229390683,0.026377833303587363,0.026505771621381638,0.026505771621381638,0,0,0,0,0,0,0,0
0.09765701559020044,0.08227529923830251,0.08227529923830251,0.08227529923830251,0.08227529923830251,0.08700073099415205,0.025253584229390683,0.026377833303587363,0.026505771621381638,0.026505771621381638,0.02524794422595638,0,0,0,0,0,0,0
0.09765701559020044,0.09765701559020044,0.08227529923830251,0.08227529923830251,0.08227529923830251,0.08700073099415205,0.09051276831976314,0.026377833303587363,0.026505771621381638,0.026505771621381638,0.02524794422595638,0.026976250906453954,0,0,0,0,0,0
0.09765701559020044,0.09765701559020044,0.09765701559020044,0.08227529923830251,0.08227529923830251,0.08700073099415205,0.09051276831976314,0.09375183858193475,0.026505771621381638,0.026505771621381638,0.02524794422595638,0.026976250906453954,0.02495763965963744,0,0,0,0,0
0.09765701559020044,0.09765701559020044,0.09765701559020044,0.09765701559020044,0.08227529923830251,0.08700073099415205,0.09051276831976314,0.09375183858193475,0.0992901185770751,0.026505771621381638,0.02524794422595638,0.026976250906453954,0.02495763965963744,0.02495763965963744,0,0,0,0
0.09765701559020044,0.09765701559020044,0.09765701559020044,0.09765701559020044,0.09765701559020044,0.08700073099415205,0.09051276831976314,0.09375183858193475,0.0992901185770751,0.0992901185770751,0.02524794422595638,0.026976250906453954,0.02495763965963744,0.02495763965963744,0.02495763965963744,0,0,0
0.08627167113494191,0.09765701559020044,0.09765701559020044,0.09765701559020044,0.09765701559020044,0.10254346026490066,0.09051276831976314,0.09375183858193475,0.0992901185770751,0.0992901185770751,0.09645590312815339,0.026976250906453954,0.02495763965963744,0.02495763965963744,0.02495763965963744,0.02495763965963744,0,0
0.08627167113494191,0.08627167113494191,0.09765701559020044,0.09765701559020044,0.09765701559020044,0.10254346026490066,0.105116,0.09375183858193475,0.0992901185770751,0.0992901185770751,0.09645590312815339,0.10180882051282052,0.02495763965963744,0.02495763965963744,0.02495763965963744,0.02495763965963744,0.02495763965963744,0
0.08627167113494191,0.08627167113494191,0.08627167113494191,0.09765701559020044,0.09765701559020044,0.10254346026490066,0.105116,0.10912652016215063,0.0992901185770751,0.0992901185770751,0.09645590312815339,0.10180882051282052,0.1008911281944733,0.02495763965963744,0.02495763965963744,0.02495763965963744,0.02495763965963744,0.02495763965963744
0.08627167113494191,0.08627167113494191,0.08627167113494191,0.08627167113494191,0.09765701559020044,0.10254346026490066,0.105116,0.10912652016215063,0.11667175239755885,0.0992901185770751,0.09645590312815339,0.10180882051282052,0.1008911281944733,0.1008911281944733,0.02495763965963744,0.02495763965963744,0.02495763965963744,0.02495763965963744
0.08627167113494191,0.08627167113494191,0.08627167113494191,0.08627167113494191,0.08627167113494191,0.10254346026490066,0.105116,0.10912652016215063,0.11667175239755885,0.11667175239755885,0.09645590312815339,0.10180882051282052,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.02495763965963744,0.02495763965963744,0.02495763965963744
0.05602001446829033,0.08627167113494191,0.08627167113494191,0.08627167113494191,0.08627167113494191,0.08942075514356772,0.105116,0.10912652016215063,0.11667175239755885,0.11667175239755885,0.11529545454545455,0.10180882051282052,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.02495763965963744,0.02495763965963744
0.05602001446829033,0.05602001446829033,0.08627167113494191,0.08627167113494191,0.08627167113494191,0.08942075514356772,0.09114968007312615,0.10912652016215063,0.11667175239755885,0.11667175239755885,0.11529545454545455,0.12002052655064703,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.02495763965963744
0.05602001446829033,0.05602001446829033,0.05602001446829033,0.08627167113494191,0.08627167113494191,0.08942075514356772,0.09114968007312615,0.09343781784558483,0.11667175239755885,0.11667175239755885,0.11529545454545455,0.12002052655064703,0.12208570782451379,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.1008911281944733
0.05602001446829033,0.05602001446829033,0.05602001446829033,0.05602001446829033,0.08627167113494191,0.08942075514356772,0.09114968007312615,0.09343781784558483,0.09843976331360946,0.11667175239755885,0.11529545454545455,0.12002052655064703,0.12208570782451379,0.12208570782451379,0.1008911281944733,0.1008911281944733,0.1008911281944733,0.1008911281944733
0.05602001446829033,0.05602001446829033,0.05602001446829033,0.05602001446829033,0.05602001446829033,0.08942075514356772,0.09114968007312615,0.09343781784558483,0.09843976331360946,0.09843976331360946,0.11529545454545455,0.12002052655064703,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.1008911281944733,0.1008911281944733,0.1008911281944733
0.027699669127004327,0.05602001446829033,0.05602001446829033,0.05602001446829033,0.05602001446829033,0.05762606370046195,0.09114968007312615,0.09343781784558483,0.09843976331360946,0.09843976331360946,0.09926818181818181,0.12002052655064703,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.1008911281944733,0.1008911281944733
0.027699669127004327,0.027699669127004327,0.05602001446829033,0.05602001446829033,0.05602001446829033,0.05762606370046195,0.058691158461915256,0.09343781784558483,0.09843976331360946,0.09843976331360946,0.09926818181818181,0.10349276410998554,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.1008911281944733
0.027699669127004327,0.027699669127004327,0.027699669127004327,0.05602001446829033,0.05602001446829033,0.05762606370046195,0.058691158461915256,0.05989756217680375,0.09843976331360946,0.09843976331360946,0.09926818181818181,0.10349276410998554,0.10681257586792911,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.12208570782451379
0.027699669127004327,0.027699669127004327,0.027699669127004327,0.027699669127004327,0.05602001446829033,0.05762606370046195,0.058691158461915256,0.05989756217680375,0.06355214570858284,0.09843976331360946,0.09926818181818181,0.10349276410998554,0.10681257586792911,0.10681257586792911,0.12208570782451379,0.12208570782451379,0.12208570782451379,0.12208570782451379
0.027699669127004327,0.027699669127004327,0.027699669127004327,0.027699669127004327,0.027699669127004327,0.05762606370046195,0.058691158461915256,0.05989756217680375,0.06355214570858284,0.06355214570858284,0.09926818181818181,0.10349276410998554,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.12208570782451379,0.12208570782451379,0.12208570782451379
0.011669091967403959,0.027699669127004327,0.027699669127004327,0.027699669127004327,0.027699669127004327,0.028664519453749034,0.058691158461915256,0.05989756217680375,0.06355214570858284,0.06355214570858284,0.06347737041719342,0.10349276410998554,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.12208570782451379,0.12208570782451379
0.011669091967403959,0.011669091967403959,0.027699669127004327,0.027699669127004327,0.027699669127004327,0.028664519453749034,0.029077124868835257,0.05989756217680375,0.06355214570858284,0.06355214570858284,0.06347737041719342,0.06615216271884655,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.12208570782451379
0.011669091967403959,0.011669091967403959,0.011669091967403959,0.027699669127004327,0.027699669127004327,0.028664519453749034,0.029077124868835257,0.029564295302013422,0.06355214570858284,0.06355214570858284,0.06347737041719342,0.06615216271884655,0.06775204431548404,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.10681257586792911
0.011669091967403959,0.011669091967403959,0.011669091967403959,0.011669091967403959,0.027699669127004327,0.028664519453749034,0.029077124868835257,0.029564295302013422,0.03172773681225184,0.06355214570858284,0.06347737041719342,0.06615216271884655,0.06775204431548404,0.06775204431548404,0.10681257586792911,0.10681257586792911,0.10681257586792911,0.10681257586792911
0.011669091967403959,0.011669091967403959,0.011669091967403959,0.011669091967403959,0.011669091967403959,0.028664519453749034,0.029077124868835257,0.029564295302013422,0.03172773681225184,0.03172773681225184,0.06347737041719342,0.06615216271884655,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.10681257586792911,0.10681257586792911,0.10681257586792911
0.005113367174280879,0.011669091967403959,0.011669091967403959,0.011669091967403959,0.011669091967403959,0.012083830548926014,0.029077124868835257,0.029564295302013422,0.03172773681225184,0.03172773681225184,0.03145253348864298,0.06615216271884655,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.10681257586792911,0.10681257586792911
0.005113367174280879,0.005113367174280879,0.011669091967403959,0.011669091967403959,0.011669091967403959,0.012083830548926014,0.01222354740061162,0.029564295302013422,0.03172773681225184,0.03172773681225184,0.03145253348864298,0.03288686567164179,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.10681257586792911
0.005113367174280879,0.005113367174280879,0.005113367174280879,0.011669091967403959,0.011669091967403959,0.012083830548926014,0.01222354740061162,0.012707004377736085,0.03172773681225184,0.03172773681225184,0.03145253348864298,0.03288686567164179,0.0338719828903147,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.06775204431548404,0.06775204431548404
