"category","gender","orphans","orphans_percent","country"
"[10-18)","Male",1787,41.356167553807,"Kenya"
"[0-5)","Female",128,3.00540032871566,"Kenya"
"[0-5)","Male",794,18.6428739140643,"Kenya"
"[5-10)","Female",187,4.39070204273304,"Kenya"
"[5-10)","Male",964,22.6344212256398,"Kenya"
"[10-18)","Female",416,9.7675510683259,"Kenya"
"[10-18)","Male",1770,41.5590514205213,"Kenya"
"[0-5)","Female",71,3.33646616541353,"Malawi"
"[0-5)","Male",325,15.2725563909774,"Malawi"
"[5-10)","Female",92,4.32330827067669,"Malawi"
"[5-10)","Male",427,20.0657894736842,"Malawi"
"[10-18)","Female",206,9.68045112781955,"Malawi"
"[10-18)","Male",1007,47.3214285714286,"Malawi"
"[0-5)","Female",74,3.18279569892473,"Malawi"
"[0-5)","Male",343,14.752688172043,"Malawi"
"[5-10)","Female",103,4.43010752688172,"Malawi"
"[5-10)","Male",465,20,"Malawi"
"[10-18)","Female",256,11.010752688172,"Malawi"
"[10-18)","Male",1084,46.6236559139785,"Malawi"
"[0-5)","Female",3828.027242639,2.91549480018314,"Mexico"
"[0-5)","Male",12390.098271043,9.43652299038524,"Mexico"
"[5-10)","Female",6893.884170563,5.2505069003859,"Mexico"
"[5-10)","Male",21888.243263435,16.6704820459154,"Mexico"
"[10-18)","Female",22605.327446857,17.2166263326575,"Mexico"
"[10-18)","Male",63693.821765211,48.5103669304729,"Mexico"
"[0-5)","Female",3838.762035804,2.93750410724847,"Mexico"
"[0-5)","Male",12336.424305218,9.44009988828284,"Mexico"
"[5-10)","Female",6876.708501499,5.26220674245909,"Mexico"
"[5-10)","Male",21684.2821933,16.5932838272984,"Mexico"
"[10-18)","Female",22575.270025995,17.2750870736676,"Mexico"
"[10-18)","Male",63369.631011628,48.4918183610436,"Mexico"
"[0-5)","Female",84,2.17785843920145,"Nigeria"
"[0-5)","Male",623,16.1524500907441,"Nigeria"
"[5-10)","Female",122,3.1630801140783,"Nigeria"
"[5-10)","Male",850,22.0378532538242,"Nigeria"
"[10-18)","Female",294,7.62250453720508,"Nigeria"
"[10-18)","Male",1884,48.8462535649468,"Nigeria"
"[0-5)","Female",115,3.1005661903478,"Nigeria"
"[0-5)","Male",588,15.853329738474,"Nigeria"
"[5-10)","Female",149,4.01725532488541,"Nigeria"
"[5-10)","Male",785,21.1647344297654,"Nigeria"
"[10-18)","Female",321,8.65462388784039,"Nigeria"
"[10-18)","Male",1751,47.209490428687,"Nigeria"
"[0-5)","Female",798,3.21540817148844,"Peru"
"[0-5)","Male",3252,13.1033926988476,"Peru"
"[5-10)","Female",1195,4.81505359013619,"Peru"
"[5-10)","Male",4657,18.7646063341123,"Peru"
"[10-18)","Female",3290,13.2565073736804,"Peru"
"[10-18)","Male",11626,46.845031831735,"Peru"
"[0-5)","Female",808,3.22683706070288,"Peru"
"[0-5)","Male",3071,12.2643769968051,"Peru"
"[5-10)","Female",1220,4.87220447284345,"Peru"
"[5-10)","Male",4579,18.2867412140575,"Peru"
"[10-18)","Female",3384,13.5143769968051,"Peru"
"[10-18)","Male",11978,47.8354632587859,"Peru"
"[0-5)","Female",356,5.44425753173268,"Philippines"
"[0-5)","Male",605,9.25217923229852,"Philippines"
"[5-10)","Female",570,8.71692919406637,"Philippines"
"[5-10)","Male",962,14.7117296222664,"Philippines"
"[10-18)","Female",1554,23.7651016975073,"Philippines"
"[10-18)","Male",2492,38.1098027221288,"Philippines"
"[0-5)","Female",346,5.46949098956687,"Philippines"
"[0-5)","Male",575,9.08947202023395,"Philippines"
"[5-10)","Female",561,8.86816313626304,"Philippines"
"[5-10)","Male",916,14.4799241226684,"Philippines"
"[10-18)","Female",1555,24.5810938981979,"Philippines"
"[10-18)","Male",2373,37.5118558330699,"Philippines"
"[0-5)","Female",290.02293,4.46260213702074,"Poland"
"[0-5)","Male",671.954535,10.3394091766185,"Poland"
"[5-10)","Female",443.204055,6.8196103079824,"Poland"
"[5-10)","Male",990.571275,15.2419861722187,"Poland"
"[10-18)","Female",1127.41308,17.3475801382778,"Poland"
"[10-18)","Male",2975.798655,45.7888120678818,"Poland"
"[0-5)","Female",316.574325,4.84677923702314,"Poland"
"[0-5)","Male",649.48797,9.9437148217636,"Poland"
"[5-10)","Female",477.92511,7.31707317073171,"Poland"
"[5-10)","Male",974.231955,14.9155722326454,"Poland"
"[10-18)","Female",1184.6007,18.1363352095059,"Poland"
"[10-18)","Male",2928.82311,44.8405253283302,"Poland"
"[0-5)","Female",4335.561722615,5.3088705605117,"South Africa"
"[0-5)","Male",11687.046850245,14.3107221006565,"South Africa"
"[5-10)","Female",6562.451383565,8.0356842282444,"South Africa"
"[5-10)","Male",15046.626067135,18.4245076586433,"South Africa"
"[10-18)","Female",15846.65679718,19.404140717051,"South Africa"
"[10-18)","Male",28188.024313235,34.5160747348931,"South Africa"
"[0-5)","Female",4453.7793219,5.4258632816425,"South Africa"
"[0-5)","Male",11835.506160975,14.4187292762166,"South Africa"
"[5-10)","Female",6485.472481705,7.90099474160163,"South Africa"
"[5-10)","Male",15439.76831592,18.8096593763607,"South Africa"
"[10-18)","Female",15810.916592745,19.2618146498309,"South Africa"
"[10-18)","Male",28058.80972797,34.1829386743477,"South Africa"
"[0-5)","Female",70,3.02899177845089,"Spain"
"[0-5)","Male",176,7.61575075724795,"Spain"
"[5-10)","Female",124,5.36564257897014,"Spain"
"[5-10)","Male",313,13.5439203807875,"Spain"
"[10-18)","Female",442,19.1259195153613,"Spain"
"[10-18)","Male",1186,51.3197749891822,"Spain"
"[0-5)","Female",68,2.91345329905741,"Spain"
"[0-5)","Male",181,7.75492716366752,"Spain"
"[5-10)","Female",121,5.18423307626392,"Spain"
"[5-10)","Male",323,13.8389031705227,"Spain"
"[10-18)","Female",445,19.0659811482434,"Spain"
"[10-18)","Male",1196,51.2425021422451,"Spain"
"[0-5)","Female",5571,5.31021532537103,"USA"
"[0-5)","Male",16003,15.2538818617685,"USA"
"[5-10)","Female",7516,7.16416772311769,"USA"
"[5-10)","Male",19350,18.4442050881223,"USA"
"[10-18)","Female",16092,15.338715673285,"USA"
"[10-18)","Male",40379,38.4888143283354,"USA"
"[0-5)","Female",5599,5.34031513486704,"USA"
"[0-5)","Male",16004,15.2645835717828,"USA"
"[5-10)","Female",7522,7.17446873450078,"USA"
"[5-10)","Male",19353,18.4588531532563,"USA"
"[10-18)","Female",16025,15.2846133302812,"USA"
"[10-18)","Male",40341,38.4771660753119,"USA"
"[0-5)","Female",183,7.17928599450765,"Zimbabwe"
"[0-5)","Male",471,18.4778344448803,"Zimbabwe"
"[5-10)","Female",200,7.84621420164771,"Zimbabwe"
"[5-10)","Male",524,20.557081208317,"Zimbabwe"
"[10-18)","Female",320,12.5539427226363,"Zimbabwe"
"[10-18)","Male",851,33.385641428011,"Zimbabwe"
"[0-5)","Female",166,6.71521035598705,"Zimbabwe"
"[0-5)","Male",428,17.3139158576052,"Zimbabwe"
"[5-10)","Female",188,7.60517799352751,"Zimbabwe"
"[5-10)","Male",532,21.5210355987055,"Zimbabwe"
"[10-18)","Female",287,11.6100323624595,"Zimbabwe"
"[10-18)","Male",871,35.2346278317152,"Zimbabwe"
