"category","gender","li_raw","ui_raw","li_percent","ui_percent","raw","percent","country"
"[10-18)","Female",5215.185768,5496.5222151,12.9360964973197,13.5647546061844,5351.214044,13.2326111744584,"Iran (Islamic Republic of)"
"[10-18)","Male",18622.040428,19180.1021942,46.2920454901133,47.1375701439506,18901.013672,46.7388825541619,"Iran (Islamic Republic of)"
"[0-5)","Female",59,76,1.868803721953,2.34923520019101,67,2.0930959075289,"Italy"
"[0-5)","Male",235.975,258,7.46262733949301,7.96796539839021,248,7.7475788815995,"Italy"
"[5-10)","Female",122,145,3.84970504918784,4.46792172877554,135,4.2174320524836,"Italy"
"[5-10)","Male",466,502,14.7814505828523,15.4494382022472,483,15.0890346766635,"Italy"
"[10-18)","Female",446,495,13.9945255863919,15.3724929483843,470,14.6829115901281,"Italy"
"[10-18)","Male",1752.975,1846,55.3873909209676,56.9764426913175,1798,56.1699468915964,"Italy"
"[0-5)","Female",105.975,144,2.47390147568944,3.33113887013279,125,2.90292614955876,"Kenya"
"[0-5)","Male",755,864.05,18.0577362160066,19.5777099429485,811,18.8341848583372,"Kenya"
"[5-10)","Female",162,212,3.83407533276692,4.89669736612683,187,4.3427775197399,"Kenya"
"[5-10)","Male",903,1021.025,21.5936401664248,23.0698619554538,963,22.3641430562006,"Kenya"
"[10-18)","Female",380.975,472.025,8.84693021004993,10.9188952286941,423,9.82350209010683,"Kenya"
"[10-18)","Male",1698,1896,40.5006145194963,42.955258986895,1797,41.7324663260567,"Kenya"
"[0-5)","Female",52,79,2.38601624170613,3.56462751116071,65,2.91479820627803,"Malawi"
"[0-5)","Male",304,378.025,14.2013034747841,16.3238684938851,338,15.1569506726457,"Malawi"
"[5-10)","Female",73,104,3.28712013746514,4.66256362503645,87,3.90134529147982,"Malawi"
"[5-10)","Male",405,497,19.1380871102806,21.2786037855257,455,20.4035874439462,"Malawi"
"[10-18)","Female",182,254,8.17501899348932,11.2523123697924,217,9.73094170403587,"Malawi"
"[10-18)","Male",969.975,1162.025,45.9295979068023,49.9044265014962,1068,47.8923766816144,"Malawi"
"[0-5)","Female",3705.650600558,3907.51838602583,2.82627049522081,2.97317146917706,3815.145490841,2.90492382135618,"Mexico"
"[0-5)","Male",12220.488539036,12525.4103388878,9.33393595679289,9.50428424214519,12364.334767447,9.41443797815994,"Mexico"
"[5-10)","Female",6756.478818051,7031.34319704083,5.15516965935254,5.34417506224917,6893.884170563,5.24913359053162,"Mexico"
"[5-10)","Male",21619.7660863784,22079.322581772,16.5367004376737,16.7339326757277,21849.598008041,16.6366965278232,"Mexico"
"[10-18)","Female",22315.4343574362,22994.249003225,17.0312359990727,17.4714223299725,22663.295329948,17.2562610344602,"Mexico"
"[10-18)","Male",63197.8206470222,64312.145851515,48.2964824109635,48.7911235014683,63747.495731036,48.5385470476689,"Mexico"
