age,year,fertility_rate,date,gender
50-54,2000,0.008161268707901735,2000,F
55-59,2000,0.002001207817262475,2000,F
60-64,2000,0.0022162803353789136,2000,F
65-69,2000,0.010346452464019606,2000,F
70-74,2000,0,2000,F
75-79,2000,0,2000,F
80+,2000,0,2000,F
under 15-NA,2016,0,2016,F
15-19,2016,0.10673928928313647,2016,F
20-24,2016,0.2244881741259748,2016,F
25-29,2016,0.20102840304945152,2016,F
30-34,2016,0.1677343997203485,2016,F
35-39,2016,0.127690403444347,2016,F
40-44,2016,0.061548959386340994,2016,F
45-49,2016,0.013053729194196919,2016,F
50-54,2016,0.0032085322641253523,2016,F
55-59,2016,0.0011773963633348325,2016,F
60-64,2016,7.661752817874374e-4,2016,F
65-69,2016,5.124751616044547e-4,2016,F
70-74,2016,0.01750046144907876,2016,F
75-79,2016,0,2016,F
80+,2016,0,2016,F
under 15-NA,2017,0,2017,F
15-19,2017,0.10673928928313647,2017,F
20-24,2017,0.2244881741259748,2017,F
25-29,2017,0.20102840304945152,2017,F
30-34,2017,0.1677343997203485,2017,F
35-39,2017,0.127690403444347,2017,F
40-44,2017,0.061548959386340994,2017,F
45-49,2017,0.013053729194196919,2017,F
50-54,2017,0.0032085322641253523,2017,F
55-59,2017,0.0011773963633348325,2017,F
60-64,2017,7.661752817874374e-4,2017,F
65-69,2017,5.124751616044547e-4,2017,F
70-74,2017,0.01750046144907876,2017,F
75-79,2017,0,2017,F
80+,2017,0,2017,F
under 15-NA,2018,0,2018,F
15-19,2018,0.10673928928313647,2018,F
20-24,2018,0.2244881741259748,2018,F
25-29,2018,0.20102840304945152,2018,F
30-34,2018,0.1677343997203485,2018,F
35-39,2018,0.127690403444347,2018,F
40-44,2018,0.061548959386340994,2018,F
45-49,2018,0.013053729194196919,2018,F
50-54,2018,0.0032085322641253523,2018,F
55-59,2018,0.0011773963633348325,2018,F
60-64,2018,7.661752817874374e-4,2018,F
65-69,2018,5.124751616044547e-4,2018,F
70-74,2018,0.01750046144907876,2018,F
75-79,2018,0,2018,F
80+,2018,0,2018,F
under 15-NA,2019,0,2019,F
15-19,2019,0.10673928928313647,2019,F
20-24,2019,0.2244881741259748,2019,F
25-29,2019,0.20102840304945152,2019,F
30-34,2019,0.1677343997203485,2019,F
35-39,2019,0.127690403444347,2019,F
40-44,2019,0.061548959386340994,2019,F
45-49,2019,0.013053729194196919,2019,F
50-54,2019,0.0032085322641253523,2019,F
55-59,2019,0.0011773963633348325,2019,F
60-64,2019,7.661752817874374e-4,2019,F
65-69,2019,5.124751616044547e-4,2019,F
70-74,2019,0.01750046144907876,2019,F
75-79,2019,0,2019,F
80+,2019,0,2019,F
under 15-NA,2020,0,2020,F
15-19,2020,0.10673928928313647,2020,F
20-24,2020,0.2244881741259748,2020,F
25-29,2020,0.20102840304945152,2020,F
30-34,2020,0.1677343997203485,2020,F
35-39,2020,0.127690403444347,2020,F
40-44,2020,0.061548959386340994,2020,F
45-49,2020,0.013053729194196919,2020,F
50-54,2020,0.0032085322641253523,2020,F
55-59,2020,0.0011773963633348325,2020,F
60-64,2020,7.661752817874374e-4,2020,F
65-69,2020,5.124751616044547e-4,2020,F
70-74,2020,0.01750046144907876,2020,F
75-79,2020,0,2020,F
80+,2020,0,2020,F
